, ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,Unnamed: 11,Trajectory,time[s],distance,distance normalized,time aligned [s]
55,56,55,123.21406,225.86097999999998,0,4.11977,2.17255,5.95383,18.78988,65.85871,0.00845,,69,7.535,32.953538589390845,0.05405073635485901,-6.5760000000000005
56,57,56,123.16103999999999,225.29947,0,4.32735,2.00085,4.99288,14.2457,45.211420000000004,0.00774,,69,7.672000000000001,41.089777736679636,0.07165448690124633,-6.439
57,58,57,123.04331,225.4861,0,4.0564,1.95718,4.7937199999999995,13.48305,42.45581,0.007370000000000001,,69,7.809000000000001,27.23322147056657,0.0416741292046664,-6.302
58,59,58,123.28273,225.55152999999999,0,4.89125,2.05346,5.3074699999999995,15.78686,52.36358,0.00915,,69,7.946000000000001,38.874341002162545,0.06686111800933787,-6.165
59,60,59,122.96341000000001,225.56677000000002,0,4.40062,1.9774599999999998,4.923109999999999,14.109079999999999,45.21409,0.010879999999999999,,69,8.083,19.908072633291702,0.025825271948606596,-6.0280000000000005
60,61,60,123.08588,225.4922,0,4.7543,2.01358,5.06139,14.52481,46.22095,0.01568,,69,8.22,29.196297194891198,0.04592148412247198,-5.891
61,62,61,123.14368,225.55449,0,4.94347,1.9725099999999998,4.845219999999999,13.57686,42.2476,0.00907,,69,8.357000000000001,30.424409958123064,0.048578656599263345,-5.754
62,63,62,123.14043000000001,225.56357999999997,0,5.04022,2.06528,5.24736,15.058079999999999,47.44143,0.00836,,69,8.494,29.987501812671585,0.047633352280525926,-5.617000000000001
63,64,63,123.21533000000001,225.48236,0,4.22085,2.10758,5.64562,17.51033,60.6354,0.00777,,69,8.631,36.69378545755283,0.06214321884672017,-5.48
64,65,64,123.00939,225.43622000000002,0,4.89679,2.01903,5.09657,14.744129999999998,47.50763,0.01086,,69,8.768,27.855276051851064,0.043020020528278566,-5.343
65,66,65,123.08801000000001,225.47285,0,4.94661,2.09515,5.5288900000000005,16.815620000000003,57.044619999999995,0.011559999999999999,,69,8.905000000000001,30.05017691050153,0.04776895753593886,-5.2059999999999995
66,67,66,123.02483000000001,225.22667,0,4.4972,1.96328,4.821940000000001,13.5406,42.30611,0.007520000000000001,,69,9.042000000000002,39.47744648355947,0.06816601063300272,-5.068999999999999
67,68,67,122.88658999999998,225.39424,0,5.37023,2.04468,5.21085,15.16857,48.95197,0.00944,,69,9.179,25.644209138222248,0.03823610627941306,-4.932
68,69,68,123.13264,225.545,0,5.5785599999999995,2.06271,5.24794,15.09113,47.6185,0.012740000000000001,,69,9.316,30.045314801020265,0.04775843776619168,-4.795
