, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,27070,946,38,1004.50604,510.99237,0,2.16729,2.21144,6.30198,20.96003,77.82771,0.00513,0.0,0.0,19.304,18,9.14,6.64,0.0,14,52,26.416,4.43417,-7.112,52,26.416,4.43417,0.5,2,40,20.32,3.43211,-1.016,52,26.416,4.43417
1,27071,946,39,1004.87189,511.52573,0,3.12504,2.00116,4.95596,13.90705,42.9825,0.00673,42.0404358757,42.0404358757,19.812,18,9.14,6.64,0.283224492278,14,52,26.416,4.43417,-6.604,52,26.416,4.43417,0.5,2,40,20.32,3.43211,-0.508,52,26.416,4.43417
2,27072,946,40,1004.07025,511.30417,0,3.43211,1.90163,4.42258,11.46887,32.23016,0.00563,34.8300645036,54.0601339762,20.32,18,9.14,6.64,0.200249837913,14,52,26.416,4.43417,-6.096,52,26.416,4.43417,0.5,2,40,20.32,3.43211,0.0,52,26.416,4.43417
3,27073,946,41,1004.26849,511.11673,0,4.46948,1.88962,4.37961,11.32869,31.76331,0.00917,17.4286578979,17.7335500202,20.828,18,9.14,6.64,0.0,14,52,26.416,4.43417,-5.588,52,26.416,4.43417,0.5,2,40,20.32,3.43211,0.508,52,26.416,4.43417
4,27074,946,42,1004.25439,511.42987,0,4.89875,1.85757,4.22025,10.67622,29.23354,0.00841,32.806265161,20.3747235333,21.336,18,9.14,6.64,0.176960600468,14,52,26.416,4.43417,-5.08,52,26.416,4.43417,0.5,2,40,20.32,3.43211,1.016,52,26.416,4.43417
5,27075,946,43,1004.57452,511.66885,0,5.2289,1.8393,4.13087,10.31387,27.85726,0.0049,44.195923012,25.9670450204,21.844,18,9.14,6.64,0.308029150858,14,52,26.416,4.43417,-4.572,52,26.416,4.43417,0.5,2,40,20.32,3.43211,1.524,52,26.416,4.43417
6,27076,946,44,1004.66833,511.67978,0,5.21943,1.89578,4.37729,11.22252,31.03924,0.00757,45.9099998153,6.13889849445,22.352,18,9.14,6.64,0.327754200092,14,52,26.416,4.43417,-4.064,52,26.416,4.43417,0.5,2,40,20.32,3.43211,2.032,52,26.416,4.43417
7,27077,946,45,1004.75018,511.73001,0,6.48761,1.93953,4.58936,12.09571,34.49556,0.00412,50.5045026346,6.24219180777,22.86,18,9.14,6.64,0.38062627335,14,52,26.416,4.43417,-3.556,52,26.416,4.43417,0.5,2,40,20.32,3.43211,2.54,52,26.416,4.43417
8,27078,946,46,1004.58643,511.66348,0,6.08397,1.83038,4.081,10.07584,26.76233,0.00244,43.9339988306,11.4887023578,23.368,18,9.14,6.64,0.305015010906,14,52,26.416,4.43417,-3.048,52,26.416,4.43417,0.5,2,40,20.32,3.43211,3.048,52,26.416,4.43417
9,27079,946,47,1004.45667,511.57608,0,5.76361,1.84536,4.15373,10.38153,28.00835,0.00391,38.0766183533,10.1692115899,23.876,18,9.14,6.64,0.237610144291,14,52,26.416,4.43417,-2.54,52,26.416,4.43417,0.5,2,40,20.32,3.43211,3.556,52,26.416,4.43417
