, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,33902,1211,55,135.56407,72.8931,0,1.33587,2.00257,5.05366,14.64754,47.26067,0.0091,0.0,0.0,27.94,22,11.18,4.81,0.0,4,59,29.972,2.85772,-2.032,59,29.972,2.85772,0.5,3,58,29.464,2.64626,-1.524,59,29.972,2.85772
1,33903,1211,56,135.45926,72.31096,0,2.0621,1.85474,4.27172,11.13174,31.9181,0.0074,38.4474926209,38.4474926209,28.448,22,11.18,4.81,0.503759089245,4,59,29.972,2.85772,-1.524,59,29.972,2.85772,0.5,3,58,29.464,2.64626,-1.016,59,29.972,2.85772
2,33904,1211,57,135.71529,72.31918,0,2.03255,2.00521,4.91502,13.50411,40.41895,0.0044,38.5780150025,16.6505248053,28.956,22,11.18,4.81,0.506165378115,4,59,29.972,2.85772,-1.016,59,29.972,2.85772,0.5,3,58,29.464,2.64626,-0.508,59,29.972,2.85772
3,33905,1211,58,135.71176,72.59109,0,2.64626,2.03859,5.11889,14.48942,44.88605,0.00388,21.8522204694,17.6756393244,29.464,22,11.18,4.81,0.197811418083,4,59,29.972,2.85772,-0.508,59,29.972,2.85772,0.5,3,58,29.464,2.64626,0.0,59,29.972,2.85772
4,33906,1211,59,135.86386,72.44064,0,2.85772,2.05074,5.21379,15.00431,47.36326,0.00819,35.2797399981,13.9059919751,29.972,22,11.18,4.81,0.445358929916,4,59,29.972,2.85772,0.0,59,29.972,2.85772,0.5,3,58,29.464,2.64626,0.508,59,29.972,2.85772
5,33907,1211,60,135.67761,72.76508,0,3.03283,2.2427,6.301,20.2162,71.33878,0.00329,11.1224956597,24.3164623048,30.48,22,11.18,4.81,0.0,4,59,29.972,2.85772,0.508,59,29.972,2.85772,0.5,3,58,29.464,2.64626,1.016,59,29.972,2.85772
6,33908,1211,61,135.48448,72.69716,0,3.29499,1.97589,4.76511,12.81839,37.34848,0.00766,13.7467011836,13.3071246309,30.988,22,11.18,4.81,0.0483794156177,4,59,29.972,2.85772,1.016,59,29.972,2.85772,0.5,3,58,29.464,2.64626,1.524,59,29.972,2.85772
7,33909,1211,62,135.75296,72.38647,0,3.01976,1.93279,4.65172,12.73152,38.56936,0.0095,35.1453136069,26.6903793147,31.496,22,11.18,4.81,0.442880667374,4,59,29.972,2.85772,1.524,59,29.972,2.85772,0.5,3,58,29.464,2.64626,2.032,59,29.972,2.85772
8,33910,1211,63,135.59988,72.63529,0,3.86121,2.01639,5.01164,14.05362,43.1867,0.00712,16.9185338622,18.9889997875,32.004,22,11.18,4.81,0.106854794174,4,59,29.972,2.85772,2.032,59,29.972,2.85772,0.5,3,58,29.464,2.64626,2.54,59,29.972,2.85772
9,33911,1211,64,135.65062,72.27045,0,3.8976,1.93834,4.59723,12.16645,34.89306,0.00685,40.8613764223,23.9428427044,32.512,22,11.18,4.81,0.548261048644,4,59,29.972,2.85772,2.54,59,29.972,2.85772,0.5,3,58,29.464,2.64626,3.048,59,29.972,2.85772
10,33912,1211,65,135.51872,72.44043,0,4.32383,1.92851,4.51993,11.75912,33.00051,0.00844,29.570839093,13.9849445455,33.02,22,11.18,4.81,0.340110584431,4,59,29.972,2.85772,3.048,59,29.972,2.85772,0.5,3,58,29.464,2.64626,3.556,59,29.972,2.85772
11,33913,1211,66,135.87344,72.30633,0,3.92417,2.01478,4.97729,13.79136,41.6419,0.00422,43.1165548937,24.6494096986,33.528,22,11.18,4.81,0.589837143034,4,59,29.972,2.85772,3.556,59,29.972,2.85772,0.5,3,58,29.464,2.64626,4.064,59,29.972,2.85772
12,33914,1211,67,135.71159,72.38663,0,4.81013,1.96921,4.69984,12.44504,35.52482,0.00593,34.2885942806,11.7438852307,34.036,22,11.18,4.81,0.42708633268,4,59,29.972,2.85772,4.064,59,29.972,2.85772,0.5,3,58,29.464,2.64626,4.572,59,29.972,2.85772
13,33915,1211,68,135.86673,72.01244,0,4.16318,1.96356,4.7394,12.81719,37.67935,0.00432,60.5291053529,26.3299407962,34.544,22,11.18,4.81,0.910852020847,4,59,29.972,2.85772,4.572,59,29.972,2.85772,0.5,3,58,29.464,2.64626,5.08,59,29.972,2.85772
14,33916,1211,69,135.92833,72.13268,0,3.90552,1.95789,4.69811,12.60719,36.71656,0.01143,54.8055980617,8.78154994064,35.052,22,11.18,4.81,0.805334394463,4,59,29.972,2.85772,5.08,59,29.972,2.85772,0.5,3,58,29.464,2.64626,5.588,59,29.972,2.85772
