, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,13339,432,3,667.22284,289.05756,0,1.57399,1.91676,4.50901,11.84515,33.71416,0.01252,0.0,0.0,1.524,21,10.67,5.65,0.0,14,17,8.636,3.99726,-7.112,17,8.636,3.99726,0.5,3,6,3.048,3.06368,-1.524,17,8.636,3.99726
1,13340,432,4,667.68433,288.86777,0,2.50569,1.88224,4.32874,11.08203,30.68298,0.01419,32.4344961614,32.4344961614,2.032,21,10.67,5.65,0.384813191501,14,17,8.636,3.99726,-6.604,17,8.636,3.99726,0.5,3,6,3.048,3.06368,-1.016,17,8.636,3.99726
2,13341,432,5,667.68604,289.22241,0,2.81106,1.87367,4.2883,10.90083,29.87456,0.01209,31.9579136766,23.0518679695,2.54,21,10.67,5.65,0.355319536785,14,17,8.636,3.99726,-6.096,17,8.636,3.99726,0.5,3,6,3.048,3.06368,-0.508,17,8.636,3.99726
3,13342,432,6,667.59045,289.37442,0,3.06368,1.86863,4.25726,10.75378,29.25114,0.01629,31.5459251795,11.671887707,3.048,21,10.67,5.65,0.329823328115,14,17,8.636,3.99726,-5.588,17,8.636,3.99726,0.5,3,6,3.048,3.06368,0.0,17,8.636,3.99726
4,13343,432,7,667.47803,289.39676,0,3.8516,1.88417,4.31682,10.94858,29.84688,0.00539,27.590840582,7.45018306487,3.556,21,10.67,5.65,0.0850600327456,14,17,8.636,3.99726,-5.08,17,8.636,3.99726,0.5,3,6,3.048,3.06368,0.508,17,8.636,3.99726
5,13344,432,8,667.85034,289.23434,0,3.79964,1.9714,4.7583,12.82886,37.49953,0.00867,42.3751854597,26.4027241646,4.064,21,10.67,5.65,1.0,14,17,8.636,3.99726,-4.572,17,8.636,3.99726,0.5,3,6,3.048,3.06368,1.016,17,8.636,3.99726
6,13345,432,9,667.72638,289.25409,0,4.35945,1.91759,4.4816,11.63327,32.55717,0.0079,35.1346839862,8.15902621779,4.572,21,10.67,5.65,0.551916284703,14,17,8.636,3.99726,-4.064,17,8.636,3.99726,0.5,3,6,3.048,3.06368,1.524,17,8.636,3.99726
7,13346,432,10,667.76349,289.13388,0,4.84049,1.93394,4.57759,12.09424,34.63035,0.00454,35.4906645712,8.17750536197,5.08,21,10.67,5.65,0.573946402873,14,17,8.636,3.99726,-3.556,17,8.636,3.99726,0.5,3,6,3.048,3.06368,2.032,17,8.636,3.99726
8,13347,432,11,667.70685,289.16699,0,4.68057,1.89822,4.40935,11.41675,32.00642,0.00612,32.254713704,4.26449624018,5.588,21,10.67,5.65,0.373687222979,14,17,8.636,3.99726,-3.048,17,8.636,3.99726,0.5,3,6,3.048,3.06368,2.54,17,8.636,3.99726
9,13348,432,12,667.64972,289.44171,0,5.05045,1.90602,4.43259,11.45194,31.916,0.00614,37.3282134973,18.2388326694,6.096,21,10.67,5.65,0.687664458577,14,17,8.636,3.99726,-2.54,17,8.636,3.99726,0.5,3,6,3.048,3.06368,3.048,17,8.636,3.99726
10,13349,432,13,667.68994,289.34058,0,5.63473,1.88539,4.3386,11.0886,30.56538,0.00312,35.4999230413,7.07423560482,6.604,21,10.67,5.65,0.574519370053,14,17,8.636,3.99726,-2.032,17,8.636,3.99726,0.5,3,6,3.048,3.06368,3.556,17,8.636,3.99726
