,time[frames],multi_alignedByDistance_intensity_mean,multi_alignedByDistance_intensity_std,multi_alignedByDistance_intensity_mean_normalized,multi_alignedByDistance_intensity_std_normalized,multi_alignedByDistance_distance_mean,multi_alignedByDistance_distance_std,multi_alignedByDistance_distance_mean_normalized,multi_alignedByDistance_distance_std_normalized
0,-246.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-246.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,-245.872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-245.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,-244.856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,-244.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,-243.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,-243.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,-242.824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,-242.316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,-241.808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,-241.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,-240.792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,-240.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,-239.776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,-239.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,-238.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,-238.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,-237.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,-237.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,-236.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,-236.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,-235.712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,-235.204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,-234.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,-234.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,-233.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,-233.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,-232.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,-232.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-231.648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,-231.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,-230.632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-230.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,-229.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,-229.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,-228.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,-228.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,-227.584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,-227.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,-226.568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,-226.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,-225.552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,-225.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,-224.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,-224.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,-223.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,-223.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,-222.504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,-221.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,-221.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,-220.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,-220.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,-219.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,-219.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,-218.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,-218.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,-217.932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,-217.424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,-216.916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-216.408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,-215.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,-215.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,-214.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,-214.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,-213.868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,-213.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,-212.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,-212.344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,-211.836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,-211.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,-210.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,-210.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,-209.804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,-209.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,-208.788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,-208.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,-207.772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,-207.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-206.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-206.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-205.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-205.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-204.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
