, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,12477,406,1,334.71301,294.03058,0,1.23176,1.97103,4.7736,12.95906,38.26129,0.00844,0.0,0.0,0.508,17,8.64,4.94,0.0,8,9,4.572,4.22146,-4.064,9,4.572,4.22146,0.5,2,3,1.524,2.49606,-1.016,9,4.572,4.22146
1,12478,406,2,334.34125,294.14923,0,1.26352,1.78917,3.91903,9.54795,25.16659,0.0081,25.3652720747,25.3652720747,1.016,17,8.64,4.94,0.419498153348,8,9,4.572,4.22146,-3.556,9,4.572,4.22146,0.5,2,3,1.524,2.49606,-0.508,9,4.572,4.22146
2,12479,406,3,334.85123,294.01987,0,2.49606,1.93766,4.60657,12.24031,35.26603,0.0074,9.01123028851,34.1985014621,1.524,17,8.64,4.94,0.0546936735373,8,9,4.572,4.22146,-3.048,9,4.572,4.22146,0.5,2,3,1.524,2.49606,0.0,9,4.572,4.22146
3,12480,406,4,334.62164,294.22198,0,2.9757,1.9213,4.49099,11.65137,32.58074,0.00831,13.78589119,19.8819286123,2.032,17,8.64,4.94,0.161200536441,8,9,4.572,4.22146,-2.54,9,4.572,4.22146,0.5,2,3,1.524,2.49606,0.508,9,4.572,4.22146
4,12481,406,5,334.79547,293.97241,0,3.3964,2.00679,4.95744,13.74209,41.42532,0.00467,6.5593343498,19.76919769,2.54,17,8.64,4.94,0.0,8,9,4.572,4.22146,-2.032,9,4.572,4.22146,0.5,2,3,1.524,2.49606,1.016,9,4.572,4.22146
5,12482,406,6,334.98373,294.28467,0,3.90719,1.98506,4.84014,13.23959,39.42708,0.00684,24.1333932853,23.7003348335,3.048,17,8.64,4.94,0.392019019637,8,9,4.572,4.22146,-1.524,9,4.572,4.22146,0.5,2,3,1.524,2.49606,1.524,9,4.572,4.22146
6,12483,406,7,334.89816,294.06299,0,4.05751,1.94772,4.6685,12.53254,36.53028,0.0028,12.2177404533,15.4454344336,3.556,17,8.64,4.94,0.126220289892,8,9,4.572,4.22146,-1.016,9,4.572,4.22146,0.5,2,3,1.524,2.49606,2.032,9,4.572,4.22146
7,12484,406,8,334.98364,294.16428,0,4.41081,1.97791,4.8065,13.10512,38.91246,0.00684,19.6205584057,8.61501243542,4.064,17,8.64,4.94,0.291352627669,8,9,4.572,4.22146,-0.508,9,4.572,4.22146,0.5,2,3,1.524,2.49606,2.54,9,4.572,4.22146
8,12485,406,9,334.95197,294.25708,0,4.22146,2.00448,4.95497,13.83021,42.33824,0.0034,21.4011087566,6.3735902051,4.572,17,8.64,4.94,0.331070805781,8,9,4.572,4.22146,0.0,9,4.572,4.22146,0.5,2,3,1.524,2.49606,3.048,9,4.572,4.22146
9,12486,406,10,334.97369,294.04358,0,4.41508,2.01326,5.0149,14.12632,43.65656,0.00557,16.9652568103,13.949128485,5.08,17,8.64,4.94,0.232121647957,8,9,4.572,4.22146,0.508,9,4.572,4.22146,0.5,2,3,1.524,2.49606,3.556,9,4.572,4.22146
10,12487,406,11,335.08179,293.99335,0,4.49168,2.03649,5.15463,14.80212,46.72437,0.00651,24.0925427569,7.74800624371,5.588,17,8.64,4.94,0.391107779715,8,9,4.572,4.22146,1.016,9,4.572,4.22146,0.5,2,3,1.524,2.49606,4.064,9,4.572,4.22146
11,12488,406,12,335.01852,294.23254,0,4.4052,2.01456,5.00248,13.98775,42.722,0.00517,23.8049312577,16.0820757219,6.096,17,8.64,4.94,0.384692120227,8,9,4.572,4.22146,1.524,9,4.572,4.22146,0.5,2,3,1.524,2.49606,4.572,9,4.572,4.22146
12,12489,406,13,335.14789,294.20792,0,4.93831,1.98474,4.8338,13.20348,39.27502,0.00303,30.5271785504,8.5599697425,6.604,17,8.64,4.94,0.534643181797,8,9,4.572,4.22146,2.032,9,4.572,4.22146,0.5,2,3,1.524,2.49606,5.08,9,4.572,4.22146
13,12490,406,14,335.37857,294.26147,0,4.08351,1.95635,4.68335,12.53639,36.45716,0.01259,45.7906572521,15.3929092183,7.112,17,8.64,4.94,0.875120812995,8,9,4.572,4.22146,2.54,9,4.572,4.22146,0.5,2,3,1.524,2.49606,5.588,9,4.572,4.22146
14,12491,406,15,335.39426,294.43176,0,3.65757,1.95904,4.7092,12.70108,37.36343,0.00676,51.3889422391,11.1157336395,7.62,17,8.64,4.94,1.0,8,9,4.572,4.22146,3.048,9,4.572,4.22146,0.5,2,3,1.524,2.49606,6.096,9,4.572,4.22146
15,12492,406,16,335.23807,293.97528,0,2.79675,1.98751,4.87794,13.48066,40.69177,0.00874,34.3176666669,31.360011479,8.128,17,8.64,4.94,0.619196411123,8,9,4.572,4.22146,3.556,9,4.572,4.22146,0.5,2,3,1.524,2.49606,6.604,9,4.572,4.22146
16,12493,406,17,335.32254,294.18188,0,1.94257,2.01751,5.01475,14.09005,43.52849,0.00639,40.821785955,14.5080729355,8.636,17,8.64,4.94,0.764281759719,8,9,4.572,4.22146,4.064,9,4.572,4.22146,0.5,2,3,1.524,2.49606,7.112,9,4.572,4.22146
