, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,36952,1327,62,141.50806,472.42395,0,1.74259,1.83109,4.13741,10.50694,29.23345,0.0079,0.0,0.0,31.496,14,7.11,3.78,0.0,6,68,34.544,3.31408,-3.048,68,34.544,3.31408,0.5,1,63,32.004,2.54664,-0.508,68,34.544,3.31408
1,36953,1327,63,140.9306,472.4754,0,2.54664,2.00743,4.99443,14.04591,43.2977,0.00719,37.6835869587,37.6835869587,32.004,14,7.11,3.78,0.482278541422,6,68,34.544,3.31408,-2.54,68,34.544,3.31408,0.5,1,63,32.004,2.54664,0.0,68,34.544,3.31408
2,36954,1327,64,140.98582,472.14865,0,3.32209,1.98528,4.8586,13.38262,40.25711,0.00635,38.3733877786,21.5399065934,32.512,14,7.11,3.78,0.496012274124,6,68,34.544,3.31408,-2.032,68,34.544,3.31408,0.5,1,63,32.004,2.54664,0.508,68,34.544,3.31408
3,36955,1327,65,141.12245,472.34448,0,3.67283,1.935,4.57315,12.06606,34.54255,0.00934,25.5913967267,15.5208711419,33.02,14,7.11,3.78,0.241526568356,6,68,34.544,3.31408,-1.524,68,34.544,3.31408,0.5,1,63,32.004,2.54664,1.016,68,34.544,3.31408
4,36956,1327,66,141.4908,472.09097,0,2.4629,1.8613,4.24027,10.7622,29.56776,0.00733,21.6727573073,29.0651802847,33.528,14,7.11,3.78,0.163507602902,6,68,34.544,3.31408,-1.016,68,34.544,3.31408,0.5,1,63,32.004,2.54664,1.524,68,34.544,3.31408
5,36957,1327,67,141.20607,472.02484,0,3.77909,1.93053,4.60791,12.38764,36.38639,0.01006,32.5316235077,19.0000625763,34.036,14,7.11,3.78,0.379704454991,6,68,34.544,3.31408,-0.508,68,34.544,3.31408,0.5,1,63,32.004,2.54664,2.032,68,34.544,3.31408
6,36958,1327,68,141.67723,472.27014,0,3.31408,1.8815,4.34058,11.18143,31.24968,0.01163,14.8615652313,34.5274123764,34.544,14,7.11,3.78,0.0278987595277,6,68,34.544,3.31408,0.0,68,34.544,3.31408,0.5,1,63,32.004,2.54664,2.54,68,34.544,3.31408
7,36959,1327,69,141.37994,472.58664,0,3.26907,1.91114,4.47411,11.67696,32.97894,0.01211,13.4603010874,28.2247929146,35.052,14,7.11,3.78,0.0,6,68,34.544,3.31408,0.508,68,34.544,3.31408,0.5,1,63,32.004,2.54664,3.048,68,34.544,3.31408
8,36960,1327,70,141.54503,472.17737,0,3.23917,1.84311,4.14501,10.36388,28.01454,0.01129,16.2068447451,28.6853064865,35.56,14,7.11,3.78,0.0546828814328,6,68,34.544,3.31408,1.016,68,34.544,3.31408,0.5,1,63,32.004,2.54664,3.556,68,34.544,3.31408
9,36961,1327,71,141.57808,471.85654,0,3.23676,1.9257,4.52283,11.82002,33.38667,0.00786,37.1614106085,20.9643079701,36.068,14,7.11,3.78,0.471882162917,6,68,34.544,3.31408,1.524,68,34.544,3.31408,0.5,1,63,32.004,2.54664,4.064,68,34.544,3.31408
10,36962,1327,72,141.87119,471.90454,0,3.41054,2.06523,5.23793,14.90637,46.12502,0.00466,41.1943183294,19.3059270594,36.576,14,7.11,3.78,0.552176176854,6,68,34.544,3.31408,2.032,68,34.544,3.31408,0.5,1,63,32.004,2.54664,4.572,68,34.544,3.31408
11,36963,1327,73,141.51898,471.44421,0,2.1608,1.90699,4.42745,11.44944,32.09959,0.00825,63.6870555266,37.6750896538,37.084,14,7.11,3.78,1.0,6,68,34.544,3.31408,2.54,68,34.544,3.31408,0.5,1,63,32.004,2.54664,5.08,68,34.544,3.31408
12,36964,1327,74,141.27095,471.7291,0,1.75606,2.0847,5.29736,15.04828,46.37257,0.00706,47.7224703382,24.5525566983,37.592,14,7.11,3.78,0.682149775222,6,68,34.544,3.31408,3.048,68,34.544,3.31408,0.5,1,63,32.004,2.54664,5.588,68,34.544,3.31408
13,36965,1327,75,141.83827,471.7149,0,1.4287,1.98377,4.98813,14.49777,47.1975,0.00746,50.8410764971,36.8873495204,38.1,14,7.11,3.78,0.744240312301,6,68,34.544,3.31408,3.556,68,34.544,3.31408,0.5,1,63,32.004,2.54664,6.096,68,34.544,3.31408
