, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,18036,595,13,992.30743,593.53687,0,1.8085,1.85949,4.23094,10.71863,29.38201,0.0064,0.0,0.0,6.604,16,8.13,5.13,0.0,0,13,6.604,1.8085,0.0,13,6.604,1.8085,0.5,4,17,8.636,3.16585,-2.032,13,6.604,1.8085
1,18037,595,14,992.46063,593.55029,0,2.23136,1.85888,4.22478,10.68211,29.20707,0.01073,9.99613281674,9.99613281674,7.112,16,8.13,5.13,0.033843835459,0,13,6.604,1.8085,0.508,13,6.604,1.8085,0.5,4,17,8.636,3.16585,-1.524,13,6.604,1.8085
2,18038,595,15,992.58392,593.29468,0,2.25131,1.82724,4.06402,10.00461,26.49135,0.00891,23.8916089024,18.4463651283,7.62,16,8.13,5.13,0.32444616918,0,13,6.604,1.8085,1.016,13,6.604,1.8085,0.5,4,17,8.636,3.16585,-1.016,13,6.604,1.8085
3,18039,595,16,992.76617,593.31036,0,2.49168,1.8257,4.07598,10.10398,27.0209,0.0049,33.2549279586,11.8900129395,8.128,16,8.13,5.13,0.520265466938,0,13,6.604,1.8085,1.524,13,6.604,1.8085,0.5,4,17,8.636,3.16585,-0.508,13,6.604,1.8085
4,18040,595,17,992.57916,593.12018,0,3.16585,1.84317,4.14401,10.33227,27.74882,0.00672,32.3349847615,17.336996678,8.636,16,8.13,5.13,0.501026281586,0,13,6.604,1.8085,2.032,13,6.604,1.8085,0.5,4,17,8.636,3.16585,0.0,13,6.604,1.8085
5,18041,595,18,992.67633,593.10083,0,4.45437,1.8667,4.25099,10.74835,29.31323,0.01531,37.1250782762,6.4400638712,9.144,16,8.13,5.13,0.601203659138,0,13,6.604,1.8085,2.54,13,6.604,1.8085,0.5,4,17,8.636,3.16585,0.508,13,6.604,1.8085
6,18042,595,19,992.70215,593.00238,0,3.96965,1.88822,4.40516,11.53773,32.91551,0.01026,43.1887430665,6.61567014387,9.652,16,8.13,5.13,0.728015804912,0,13,6.604,1.8085,3.048,13,6.604,1.8085,0.5,4,17,8.636,3.16585,1.016,13,6.604,1.8085
7,18043,595,20,992.82159,592.84186,0,4.09116,1.86239,4.27056,10.96337,30.60247,0.0058,56.1939719995,13.0052938221,10.16,16,8.13,5.13,1.0,0,13,6.604,1.8085,3.556,13,6.604,1.8085,0.5,4,17,8.636,3.16585,1.524,13,6.604,1.8085
8,18044,595,21,992.66931,592.94403,0,4.76696,1.8721,4.30686,11.07791,30.93996,0.00642,45.1465313175,11.919643801,10.668,16,8.13,5.13,0.768959910113,0,13,6.604,1.8085,4.064,13,6.604,1.8085,0.5,4,17,8.636,3.16585,2.032,13,6.604,1.8085
9,18045,595,22,992.54926,592.90649,0,4.54705,1.9324,4.58641,12.1814,35.13515,0.0104,43.8863467287,8.17586683921,11.176,16,8.13,5.13,0.742605103689,0,13,6.604,1.8085,4.572,13,6.604,1.8085,0.5,4,17,8.636,3.16585,2.54,13,6.604,1.8085
10,18046,595,23,992.58911,593.03119,0,4.82826,1.91857,4.52001,11.90689,34.05731,0.00545,37.6246078156,8.50931990893,11.684,16,8.13,5.13,0.611650544804,0,13,6.604,1.8085,5.08,13,6.604,1.8085,0.5,4,17,8.636,3.16585,3.048,13,6.604,1.8085
11,18047,595,24,992.5636,593.26544,0,5.13105,1.98665,4.87931,13.51784,40.9848,0.00384,24.2596609788,15.316270776,12.192,16,8.13,5.13,0.332143407595,0,13,6.604,1.8085,5.588,13,6.604,1.8085,0.5,4,17,8.636,3.16585,3.556,13,6.604,1.8085
12,18048,595,25,992.35223,593.3952,0,4.25682,2.09324,5.42096,15.91038,51.36402,0.00425,9.65800896161,16.1214328849,12.7,16,8.13,5.13,0.0267724993793,0,13,6.604,1.8085,6.096,13,6.604,1.8085,0.5,4,17,8.636,3.16585,4.064,13,6.604,1.8085
13,18049,595,26,992.40729,593.45538,0,3.6979,2.00079,4.97184,14.07567,44.19341,0.00563,8.37785191636,5.30187911027,13.208,16,8.13,5.13,0.0,0,13,6.604,1.8085,6.604,13,6.604,1.8085,0.5,4,17,8.636,3.16585,4.572,13,6.604,1.8085
14,18050,595,27,992.70239,593.29181,0,2.81414,1.99278,4.99399,14.39758,46.40474,0.00513,30.2126128789,21.9310380386,13.716,16,8.13,5.13,0.45664016496,0,13,6.604,1.8085,7.112,13,6.604,1.8085,0.5,4,17,8.636,3.16585,5.08,13,6.604,1.8085
15,18051,595,28,992.68896,593.27686,0,2.06792,2.11461,5.66717,17.49369,59.95131,0.00476,30.0107429219,1.30626940751,14.224,16,8.13,5.13,0.452418367863,0,13,6.604,1.8085,7.62,13,6.604,1.8085,0.5,4,17,8.636,3.16585,5.588,13,6.604,1.8085
