, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,20888,719,22,960.94183,514.6748,0,1.26851,1.91187,4.55327,12.28729,36.4677,0.00433,0.0,0.0,11.176,20,10.16,5.71,0.0,12,34,17.272,5.29161,-6.096,34,17.272,5.29161,0.5,4,26,13.208,3.25937,-2.032,34,17.272,5.29161
1,20889,719,23,960.92255,515.04791,0,1.41719,2.03362,5.16935,14.98964,48.07248,0.00284,24.2845071983,24.2845071983,11.684,20,10.16,5.71,0.745425833794,12,34,17.272,5.29161,-5.588,34,17.272,5.29161,0.5,4,26,13.208,3.25937,-1.524,34,17.272,5.29161
2,20890,719,24,960.75519,514.83881,0,2.21325,1.81858,4.05958,10.10195,27.23678,0.01425,16.1500828785,17.4088615024,12.192,20,10.16,5.71,0.47012243061,12,34,17.272,5.29161,-5.08,34,17.272,5.29161,0.5,4,26,13.208,3.25937,-1.016,34,17.272,5.29161
3,20891,719,25,960.94019,514.64008,0,2.63361,1.89095,4.35981,11.16724,30.86023,0.01637,2.25931622399,17.6482616567,12.7,20,10.16,5.71,0.0,12,34,17.272,5.29161,-4.572,34,17.272,5.29161,0.5,4,26,13.208,3.25937,-0.508,34,17.272,5.29161
4,20892,719,26,961.09833,514.64081,0,3.25937,1.8876,4.35122,11.15447,30.88749,0.01029,10.4096581919,10.2792095179,13.208,20,10.16,5.71,0.275842123877,12,34,17.272,5.29161,-4.064,34,17.272,5.29161,0.5,4,26,13.208,3.25937,0.0,34,17.272,5.29161
5,20893,719,27,961.21875,514.64996,0,3.72526,1.87085,4.27672,10.88255,29.96157,0.00705,18.0720705289,7.84986323782,13.716,20,10.16,5.71,0.535170640566,12,34,17.272,5.29161,-3.556,34,17.272,5.29161,0.5,4,26,13.208,3.25937,0.508,34,17.272,5.29161
6,20894,719,28,961.00378,514.64429,0,4.26517,1.89879,4.44214,11.64875,33.25406,0.01377,4.48860774461,13.9779095506,14.224,20,10.16,5.71,0.0754486756764,12,34,17.272,5.29161,-3.048,34,17.272,5.29161,0.5,4,26,13.208,3.25937,1.016,34,17.272,5.29161
7,20895,719,29,961.05267,514.68573,0,4.06122,1.86313,4.26263,10.88546,30.1349,0.01393,7.23954420957,4.16583864095,14.732,20,10.16,5.71,0.168552027675,12,34,17.272,5.29161,-2.54,34,17.272,5.29161,0.5,4,26,13.208,3.25937,1.524,34,17.272,5.29161
8,20896,719,30,961.2735,514.59619,0,3.79929,1.87325,4.29074,10.93951,30.16411,0.01486,22.1558028793,15.4890104465,15.24,20,10.16,5.71,0.673381455439,12,34,17.272,5.29161,-2.032,34,17.272,5.29161,0.5,4,26,13.208,3.25937,2.032,34,17.272,5.29161
9,20897,719,31,961.12628,514.46411,0,3.96445,1.83092,4.09368,10.16467,27.2345,0.01563,18.2014019264,12.8560165499,15.748,20,10.16,5.71,0.539547763331,12,34,17.272,5.29161,-1.524,34,17.272,5.29161,0.5,4,26,13.208,3.25937,2.54,34,17.272,5.29161
