, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,27054,945,38,268.15878,353.21277,0,1.35315,1.78023,3.88902,9.47819,25.09311,0.00689,0.0,0.0,19.304,16,8.13,6.56,0.0,11,49,24.892,4.24659,-5.588,49,24.892,4.24659,0.5,3,41,20.828,3.32,-1.524,49,24.892,4.24659
1,27055,945,39,267.84641,352.82898,0,1.71548,1.81097,4.02821,10.01206,27.07917,0.00763,32.164807239,32.164807239,19.812,16,8.13,6.56,0.221609388361,11,49,24.892,4.24659,-5.08,49,24.892,4.24659,0.5,3,41,20.828,3.32,-1.016,49,24.892,4.24659
2,27056,945,40,268.38681,353.23578,0,2.38501,1.82253,4.05192,9.99162,26.57841,0.00702,14.8972202348,43.9660691898,20.32,16,8.13,6.56,0.0,11,49,24.892,4.24659,-4.572,49,24.892,4.24659,0.5,3,41,20.828,3.32,-0.508,49,24.892,4.24659
3,27057,945,41,267.98303,352.84665,0,3.32,1.89336,4.39462,11.39049,32.02731,0.00872,26.3976769603,36.4499023509,20.828,16,8.13,6.56,0.14759498129,11,49,24.892,4.24659,-4.064,49,24.892,4.24659,0.5,3,41,20.828,3.32,0.0,49,24.892,4.24659
4,27058,945,42,268.08813,352.7334,0,4.50166,1.89311,4.43551,11.71199,33.85194,0.00828,31.49563711,10.0427781919,21.336,16,8.13,6.56,0.213021368334,11,49,24.892,4.24659,-3.556,49,24.892,4.24659,0.5,3,41,20.828,3.32,0.508,49,24.892,4.24659
5,27059,945,43,267.7684,352.49173,0,4.47033,1.84339,4.14154,10.31418,27.65689,0.00802,53.2958472102,26.0512719671,21.844,16,8.13,6.56,0.492801700425,11,49,24.892,4.24659,-3.048,49,24.892,4.24659,0.5,3,41,20.828,3.32,1.016,49,24.892,4.24659
6,27060,945,44,267.92905,352.64575,0,5.77473,1.8668,4.26994,10.88888,30.07831,0.00661,39.766379175,14.4660538072,22.352,16,8.13,6.56,0.31916671973,11,49,24.892,4.24659,-2.54,49,24.892,4.24659,0.5,3,41,20.828,3.32,1.524,49,24.892,4.24659
7,27061,945,45,268.01535,352.55911,0,6.33456,1.8577,4.21255,10.6046,28.78108,0.00398,43.4987246148,7.94867339938,22.86,16,8.13,6.56,0.367067030865,11,49,24.892,4.24659,-2.032,49,24.892,4.24659,0.5,3,41,20.828,3.32,2.032,49,24.892,4.24659
8,27062,945,46,268.05048,352.54874,0,6.55672,1.904,4.43219,11.48882,32.203,0.00262,43.7322362572,2.38085852268,23.368,16,8.13,6.56,0.370063881105,11,49,24.892,4.24659,-1.524,49,24.892,4.24659,0.5,3,41,20.828,3.32,2.54,49,24.892,4.24659
9,27063,945,47,268.05606,352.86243,0,6.2178,1.98324,4.86078,13.43305,40.59992,0.00298,23.730743702,20.3930756462,23.876,16,8.13,6.56,0.113367995896,11,49,24.892,4.24659,-1.016,49,24.892,4.24659,0.5,3,41,20.828,3.32,3.048,49,24.892,4.24659
10,27064,945,48,268.11902,352.6821,0,5.02609,1.92442,4.53778,11.94637,34.08619,0.00609,34.5902314962,12.4153182747,24.384,16,8.13,6.56,0.252736886721,11,49,24.892,4.24659,-0.508,49,24.892,4.24659,0.5,3,41,20.828,3.32,3.556,49,24.892,4.24659
11,27065,945,49,267.88928,352.54706,0,4.24659,1.93133,4.58207,12.18421,35.27748,0.00997,46.6824938127,17.3217706188,24.892,16,8.13,6.56,0.407927004205,11,49,24.892,4.24659,0.0,49,24.892,4.24659,0.5,3,41,20.828,3.32,4.064,49,24.892,4.24659
12,27066,945,50,268.13559,352.8157,0,4.08956,1.89356,4.38708,11.3277,31.66371,0.00635,25.8535292605,23.6903435514,25.4,16,8.13,6.56,0.140611478679,11,49,24.892,4.24659,0.508,49,24.892,4.24659,0.5,3,41,20.828,3.32,4.572,49,24.892,4.24659
13,27067,945,51,268.67111,353.04523,0,3.29967,1.93814,4.62594,12.41454,36.40143,0.0083,35.0368498885,37.8713948217,25.908,16,8.13,6.56,0.258468714146,11,49,24.892,4.24659,1.016,49,24.892,4.24659,0.5,3,41,20.828,3.32,5.08,49,24.892,4.24659
14,27068,945,52,267.82037,352.6861,0,2.68843,1.90529,4.42171,11.40251,31.74522,0.01035,40.6913818495,60.0232998219,26.416,16,8.13,6.56,0.331038052817,11,49,24.892,4.24659,1.524,49,24.892,4.24659,0.5,3,41,20.828,3.32,5.588,49,24.892,4.24659
15,27069,945,53,267.19656,352.15771,0,1.38126,1.94224,4.75733,13.43073,42.49654,0.00877,92.8162431242,53.1386393046,26.924,16,8.13,6.56,1.0,11,49,24.892,4.24659,2.032,49,24.892,4.24659,0.5,3,41,20.828,3.32,6.096,49,24.892,4.24659
