,trackIds,lifetimes_frames,lifetimes_seconds,maxIntensities
0,1026,24,12.19,4.52
1,1061,16,8.13,5.57
2,1072,15,7.62,5.9
3,1211,22,11.18,4.81
4,1218,22,11.18,5.84
5,1243,20,10.16,5.64
6,1327,14,7.11,3.78
7,1337,14,7.11,4.73
8,1377,21,10.67,6.43
9,1400,21,10.67,6.64
10,1434,25,12.7,3.16
11,1460,29,14.73,9.58
12,1539,18,9.14,5.08
13,1561,17,8.64,5.0
14,1612,21,10.67,6.22
15,1637,17,8.64,5.54
16,1836,21,10.67,5.13
17,2055,21,10.67,4.36
18,255,18,9.14,5.7
19,406,17,8.64,4.94
20,432,21,10.67,5.65
21,488,38,19.3,5.11
22,503,16,8.13,4.87
23,532,22,11.18,4.35
24,542,17,8.64,5.12
25,548,17,8.64,3.78
26,571,22,11.18,5.22
27,592,21,10.67,5.49
28,595,16,8.13,5.13
29,604,24,12.19,3.68
30,608,17,8.64,4.11
31,626,34,17.27,3.77
32,636,19,9.65,6.46
33,647,32,16.26,7.94
34,659,19,9.65,5.05
35,669,13,6.6,4.24
36,672,21,10.67,5.52
37,674,21,10.67,4.5
38,683,15,7.62,2.56
39,694,20,10.16,4.79
40,710,18,9.14,6.24
41,719,20,10.16,5.71
42,731,22,11.18,3.68
43,738,15,7.62,4.93
44,744,19,9.65,6.33
45,753,19,9.65,5.22
46,757,16,8.13,4.47
47,788,47,23.88,5.88
48,799,19,9.65,5.66
49,802,19,9.65,5.66
50,814,20,10.16,4.45
51,831,17,8.64,5.22
52,846,17,8.64,3.42
53,859,19,9.65,4.89
54,864,25,12.7,5.78
55,877,26,13.21,7.09
56,900,21,10.67,3.21
57,930,22,11.18,4.33
58,945,16,8.13,6.56
59,946,18,9.14,6.64
