, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,20062,672,19,636.37628,243.75328,0,1.21695,1.7931,4.00778,10.17602,28.66755,0.00849,0.0,0.0,9.652,21,10.67,5.52,0.0,1,20,10.16,2.05532,-0.508,20,10.16,2.05532,0.5,3,22,11.176,2.8062,-1.524,20,10.16,2.05532
1,20063,672,20,636.65137,243.66002,0,2.05532,1.91294,4.49568,11.83102,33.86825,0.01316,18.8804509568,18.8804509568,10.16,21,10.67,5.52,0.335229144976,1,20,10.16,2.05532,0.0,20,10.16,2.05532,0.5,3,22,11.176,2.8062,-1.016,20,10.16,2.05532
2,20064,672,21,636.55585,243.7123,0,2.64913,1.87131,4.28778,10.96861,30.48671,0.01154,11.9721363546,7.07792064663,10.668,21,10.67,5.52,0.18940719535,1,20,10.16,2.05532,0.508,20,10.16,2.05532,0.5,3,22,11.176,2.8062,-0.508,20,10.16,2.05532
3,20065,672,22,636.21204,243.9057,0,2.8062,1.86827,4.28725,10.97456,30.4104,0.01211,14.564443987,25.6407390986,11.176,21,10.67,5.52,0.244126092035,1,20,10.16,2.05532,1.016,20,10.16,2.05532,0.5,3,22,11.176,2.8062,0.0,20,10.16,2.05532
4,20066,672,23,635.78186,243.75696,0,2.82345,1.86827,4.26471,10.83255,29.7539,0.00462,38.6380404256,29.5859565419,11.684,21,10.67,5.52,0.752275904155,1,20,10.16,2.05532,1.524,20,10.16,2.05532,0.5,3,22,11.176,2.8062,0.508,20,10.16,2.05532
5,20067,672,24,635.90106,243.76003,0,3.01742,1.85023,4.20636,10.68945,29.51157,0.01504,30.8924158339,7.75056928248,12.192,21,10.67,5.52,0.588779864372,1,20,10.16,2.05532,2.032,20,10.16,2.05532,0.5,3,22,11.176,2.8062,1.016,20,10.16,2.05532
6,20068,672,25,635.76111,243.78528,0,3.72198,1.87092,4.30249,11.06326,30.90166,0.01375,40.0401123201,9.24362278141,12.7,21,10.67,5.52,0.781871090382,1,20,10.16,2.05532,2.54,20,10.16,2.05532,0.5,3,22,11.176,2.8062,1.524,20,10.16,2.05532
7,20069,672,26,635.71301,243.89333,0,4.34009,1.90627,4.46156,11.6868,33.28763,0.00635,44.0631493208,7.68772026107,13.208,21,10.67,5.52,0.866790080416,1,20,10.16,2.05532,3.048,20,10.16,2.05532,0.5,3,22,11.176,2.8062,2.032,20,10.16,2.05532
8,20070,672,27,635.66699,243.85503,0,4.92384,1.89044,4.36426,11.21037,31.12066,0.00618,46.575816406,3.8917201775,13.716,21,10.67,5.52,0.919827910079,1,20,10.16,2.05532,3.556,20,10.16,2.05532,0.5,3,22,11.176,2.8062,2.54,20,10.16,2.05532
9,20071,672,28,635.64453,244.00851,0,4.92436,1.90066,4.4513,11.69625,33.47556,0.01157,50.3739690223,10.0824537911,14.224,21,10.67,5.52,1.0,1,20,10.16,2.05532,4.064,20,10.16,2.05532,0.5,3,22,11.176,2.8062,3.048,20,10.16,2.05532
