, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPoint_fromDistance_px,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity
0,1859,67,6,817.27148,133.07549,0,1.67812,1.8004,3.99805,9.93928,26.896490000000004,0.01587,0.0,0.0,1.866,42,13.06,4.83,0.0,39.046724181738206,26,32,9.952,4.332269999999999,-8.086,0.5,2.415,4,10,3.11,2.65185,-3.11,1.415,10,16,4.976,3.58566
1,1860,67,7,817.67938,132.92715,0,1.98954,1.9002700000000001,4.52807,12.3431,37.45837,0.00837,28.21233373296381,28.21233373296381,2.177,42,13.06,4.83,0.027127776568443705,39.046724181738206,26,32,9.952,4.332269999999999,-7.775,0.5,2.415,4,10,3.11,2.65185,-2.799,1.415,10,16,4.976,3.58566
2,1861,67,8,817.50885,133.63393,0,2.26186,1.76498,3.8202199999999995,9.20242,24.02294,0.00595,39.44165242307382,47.2589985959538,2.488,42,13.06,4.83,0.08219242374812995,39.046724181738206,26,32,9.952,4.332269999999999,-7.464,0.5,2.415,4,10,3.11,2.65185,-2.488,1.415,10,16,4.976,3.58566
3,1862,67,9,817.6759599999999,133.27042,0,2.4130700000000003,1.8307099999999998,4.09968,10.21907,27.57687,0.00962,29.185056118538306,26.0053028254774,2.799,42,13.06,4.83,0.03189766657188768,39.046724181738206,26,32,9.952,4.332269999999999,-7.1530000000000005,0.5,2.415,4,10,3.11,2.65185,-2.177,1.415,10,16,4.976,3.58566
4,1863,67,10,817.5871,133.36177,0,2.65185,1.78475,3.88309,9.35773,24.29569,0.00405,27.697339968486585,8.283591966802199,3.11,42,13.06,4.83,0.024602427460162318,39.046724181738206,26,32,9.952,4.332269999999999,-6.8420000000000005,0.5,2.415,4,10,3.11,2.65185,-1.866,1.415,10,16,4.976,3.58566
5,1864,67,11,817.62079,133.42555,0,2.84041,1.81457,4.0166,9.84957,26.00624,0.00485,32.14442100478139,4.688525515822165,3.421,42,13.06,4.83,0.04640935582338683,39.046724181738206,26,32,9.952,4.332269999999999,-6.531000000000001,0.5,2.415,4,10,3.11,2.65185,-1.5550000000000002,1.415,10,16,4.976,3.58566
6,1865,67,12,817.6174900000001,133.29057,0,2.6198,1.7941200000000002,3.93943,9.603639999999999,25.26815,0.008440000000000001,26.481603604441517,8.776321663429473,3.732,42,13.06,4.83,0.018640881991814722,39.046724181738206,26,32,9.952,4.332269999999999,-6.22,0.5,2.415,4,10,3.11,2.65185,-1.2439999999999998,1.415,10,16,4.976,3.58566
7,1866,67,13,817.59161,133.76183,0,2.92314,1.7938599999999998,3.9403599999999996,9.6233,25.4165,0.00548,49.22632484567957,30.678055584571112,4.043,42,13.06,4.83,0.13017303144021722,39.046724181738206,26,32,9.952,4.332269999999999,-5.909,0.5,2.415,4,10,3.11,2.65185,-0.9329999999999998,1.415,10,16,4.976,3.58566
8,1867,67,14,817.4707599999999,133.45035,0,2.9199599999999997,1.8390099999999998,4.13675,10.345289999999999,27.95447,0.0132,27.59497187985218,21.71666565112067,4.354,42,13.06,4.83,0.024100450195230223,39.046724181738206,26,32,9.952,4.332269999999999,-5.598,0.5,2.415,4,10,3.11,2.65185,-0.6219999999999999,1.415,10,16,4.976,3.58566
9,1868,67,15,817.51135,133.32889,0,3.1208,1.7907,3.90414,9.41705,24.43745,0.00821,22.680173553182758,8.324081735092882,4.665,42,13.06,4.83,0.0,39.046724181738206,26,32,9.952,4.332269999999999,-5.287,0.5,2.415,4,10,3.11,2.65185,-0.31099999999999994,1.415,10,16,4.976,3.58566
