, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
10,2001,73,11,842.19342,139.03819,0,3.2976199999999998,1.78147,3.90614,9.56435,25.43515,0.007940000000000001,97.2327214938056,3.956662549738524,1.76,39,6.24,5.27,0.3763013908039479,96.24887305327073,27,28,4.48,5.26698,-2.7200000000000006,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.4800000000000002,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
11,2002,73,12,842.07324,139.04856999999998,0,3.28206,1.7718099999999999,3.85961,9.365210000000001,24.59787,0.005229999999999999,92.13818319905643,7.840782931562975,1.92,39,6.24,5.27,0.3540322012951528,96.24887305327073,27,28,4.48,5.26698,-2.5600000000000005,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.3200000000000003,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
12,2003,73,13,842.1944,139.02997,0,3.58644,1.76852,3.84195,9.29932,24.3942,0.008759999999999999,96.9177098757614,7.967660017841801,2.08,39,6.24,5.27,0.37492441549944805,96.24887305327073,27,28,4.48,5.26698,-2.4000000000000004,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,-0.16000000000000014,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
13,2004,73,14,842.1684,139.17137,0,3.6857800000000003,1.73636,3.69104,8.70545,22.168029999999998,0.0052899999999999996,102.18874490648525,9.345083252705408,2.24,39,6.24,5.27,0.3979651055905737,96.24887305327073,27,28,4.48,5.26698,-2.24,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.0,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
14,2005,73,15,842.2003800000001,139.07506,0,3.2543900000000003,1.7516900000000002,3.7938400000000003,9.20955,24.399379999999997,0.00396,99.2026191006375,6.596246789843049,2.4,39,6.24,5.27,0.38491218545921146,96.24887305327073,27,28,4.48,5.26698,-2.0800000000000005,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.1599999999999997,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
15,2006,73,16,841.9916400000001,138.90662,0,3.3944400000000003,1.85558,4.34126,11.716569999999999,35.71285,0.00963,81.8390713717211,17.434597201256647,2.56,39,6.24,5.27,0.30901283746161506,96.24887305327073,27,28,4.48,5.26698,-1.9200000000000004,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.31999999999999984,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
16,2007,73,17,842.29797,139.11626,0,3.34058,1.7450599999999998,3.74095,8.93132,23.11835,0.0072299999999999994,105.6711652813213,24.127786236251048,2.72,39,6.24,5.27,0.4131874230587617,96.24887305327073,27,28,4.48,5.26698,-1.7600000000000002,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.48,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
17,2008,73,18,842.09094,139.18121000000002,0,3.3826300000000002,1.7667,3.82453,9.20439,23.95983,0.00571,99.30426717358709,14.103640535863851,2.88,39,6.24,5.27,0.3853565083926658,96.24887305327073,27,28,4.48,5.26698,-1.6000000000000005,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.6399999999999997,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
18,2009,73,19,842.19977,139.08664,0,3.68435,1.7553,3.7714199999999996,8.994589999999999,23.16359,0.00498,99.69462401148797,9.371605641774122,3.04,39,6.24,5.27,0.387062831889778,96.24887305327073,27,28,4.48,5.26698,-1.4400000000000004,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.7999999999999998,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
19,2010,73,20,842.1075400000001,139.08998,0,3.6548199999999995,1.8715400000000002,4.278169999999999,10.87898,29.907740000000004,0.01267,95.62508794947996,5.9988797214471665,3.2,39,6.24,5.27,0.3692741208163648,96.24887305327073,27,28,4.48,5.26698,-1.2800000000000002,37,6.08,2.1778,0.5,2.635,2,3,0.48,2.71044,0.96,15,2.56,3.3944400000000003,1.6349999999999998,13,14,2.24,3.6857800000000003,26,4.32,4.597519999999999
