, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPoint_fromDistance_px,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity
0,405,16,6,1160.2038599999998,29.199309999999997,0,3.09953,1.82508,4.180280000000001,10.99076,32.46363,0.01907,0.0,0.0,1.866,66,20.53,6.8,0.0,53.09788308522874,44,50,15.55,6.21057,-13.684000000000001,0.5,3.4,1,7,2.177,3.5209,-1.866,1.9,6,12,3.732,5.02417
1,406,16,7,1160.19177,29.05886,0,3.5209,1.7969700000000002,3.9597599999999997,9.715860000000001,25.81135,0.00603,9.16301073801573,9.16301073801573,2.177,66,20.53,6.8,0.032883677613630355,53.09788308522874,44,50,15.55,6.21057,-13.373000000000001,0.5,3.4,1,7,2.177,3.5209,-1.5550000000000002,1.9,6,12,3.732,5.02417
2,407,16,8,1160.20544,29.18426,0,3.56714,1.8009700000000002,3.9874699999999996,9.85915,26.49595,0.00618,0.9836261243486851,8.199287902159826,2.488,66,20.53,6.8,0.0,53.09788308522874,44,50,15.55,6.21057,-13.062000000000001,0.5,3.4,1,7,2.177,3.5209,-1.2440000000000002,1.9,6,12,3.732,5.02417
3,408,16,9,1160.24207,29.35991,0,4.12365,1.8097599999999998,4.0236,9.98948,26.94275,0.0061600000000000005,10.730388544808417,11.662869306693777,2.799,66,20.53,6.8,0.039185025322748826,53.09788308522874,44,50,15.55,6.21057,-12.751000000000001,0.5,3.4,1,7,2.177,3.5209,-0.9330000000000003,1.9,6,12,3.732,5.02417
4,409,16,10,1160.23108,29.3039,0,4.55041,1.82107,4.03891,9.92516,26.27587,0.00263,7.024812112258997,3.710071204842243,3.11,66,20.53,6.8,0.024287452151166237,53.09788308522874,44,50,15.55,6.21057,-12.440000000000001,0.5,3.4,1,7,2.177,3.5209,-0.6220000000000003,1.9,6,12,3.732,5.02417
5,410,16,11,1160.4002699999999,29.34439,0,4.7014,1.7703900000000001,3.8263800000000003,9.15814,23.60341,0.0033399999999999997,15.871862658885641,11.30788846092752,3.421,66,20.53,6.8,0.059855355086144334,53.09788308522874,44,50,15.55,6.21057,-12.129000000000001,0.5,3.4,1,7,2.177,3.5209,-0.3110000000000004,1.9,6,12,3.732,5.02417
6,411,16,12,1160.18713,29.210290000000004,0,5.02417,1.7831400000000002,3.88412,9.37975,24.41282,0.00432,1.3007364039173772,16.36806216568433,3.732,66,20.53,6.8,0.001274882242837828,53.09788308522874,44,50,15.55,6.21057,-11.818000000000001,0.5,3.4,1,7,2.177,3.5209,0.0,1.9,6,12,3.732,5.02417
7,412,16,13,1160.24194,29.055909999999997,0,5.33179,1.8298299999999998,4.0963199999999995,10.19709,27.43556,0.00337,9.644047700010848,10.648365091062102,4.043,66,20.53,6.8,0.03481759625490034,53.09788308522874,44,50,15.55,6.21057,-11.507000000000001,0.5,3.4,1,7,2.177,3.5209,0.31099999999999994,1.9,6,12,3.732,5.02417
8,413,16,14,1160.1417199999999,29.0713,0,5.31944,1.86427,4.26598,10.91513,30.366020000000002,0.00796,9.249191598863954,6.5906604079351006,4.354,66,20.53,6.8,0.03323015155738682,53.09788308522874,44,50,15.55,6.21057,-11.196000000000002,0.5,3.4,1,7,2.177,3.5209,0.6219999999999999,1.9,6,12,3.732,5.02417
9,414,16,15,1160.32544,29.1486,0,5.38117,1.78415,3.89077,9.40954,24.533179999999998,0.00309,8.562550561177863,12.955778150707193,4.665,66,20.53,6.8,0.03046964039596888,53.09788308522874,44,50,15.55,6.21057,-10.885000000000002,0.5,3.4,1,7,2.177,3.5209,0.9329999999999998,1.9,6,12,3.732,5.02417
