,trackIds,lifetimes_frames,lifetimes_seconds,maxIntensities,dt,intensities_atAlignmentPoint_byDistance,intensities_atAlignmentPoint_byIntensity_raw,intensities_atAlignmentPoint_byIntensity_minMaxRescaled,intensities_atAlignmentPoint_byDistance_plus_dt,distances_atAlignmentPoint_byDistance_plus_dt,intensities_atAlignmentPoint_byIntensity_raw_plus_dt,distances_atAlignmentPoint_byIntensity_raw_plus_dt,intensities_atAlignmentPoint_byIntensity_minMaxRescaled_plus_dt,distances_atAlignmentPoint_byIntensity_minMaxRescaled_plus_dt
0,16,72,11.52,6.8,2.0,6.21057,3.5209,4.55041,6.21057,217.69722552786519,3.5209,13.075506711884506,4.55041,26.375691870601816
1,42,50,8.0,6.33,2.0,5.48525,3.43232,4.81752,5.48525,179.30113046114369,3.43232,10.822104937242651,4.81752,18.13250146318591
2,57,41,6.56,5.55,2.0,5.4016,2.91417,4.4139300000000015,5.4016,179.77461122002975,2.91417,18.789323644295568,4.4139300000000015,28.565226462435735
3,59,36,5.76,5.44,2.0,5.02193,2.72776,3.99326,5.02193,486.7730365825965,2.72776,18.765626239617127,3.99326,88.84244428206785
4,67,48,7.68,4.83,2.0,4.3322699999999985,2.65185,2.92314,4.3322699999999985,157.83735020331014,2.65185,47.386451064888284,2.92314,45.735078796973106
5,69,47,7.52,5.53,2.0,4.7539,2.80385,4.4142800000000015,4.7539,166.742713332923,2.80385,32.72365601506833,4.4142800000000015,35.77289106041088
6,126,34,5.44,4.08,2.0,3.5578199999999995,2.1141400000000004,2.65851,3.5578199999999995,296.09608165340217,2.1141400000000004,18.080897284286014,2.65851,49.73216294290452
7,142,50,8.0,5.05,2.0,4.8456199999999985,3.25767,4.33592,4.8456199999999985,225.07139955927948,3.25767,57.9920320368616,4.33592,94.24775301062776
8,170,70,11.2,6.13,2.0,5.50255,3.21265,3.70469,5.50255,170.74611526723655,3.21265,47.71768625075054,3.70469,37.39536337826291
9,172,98,15.68,9.34,2.0,8.7811,4.84725,6.1876,8.7811,120.06417185173183,4.84725,14.867293758192728,6.1876,10.386460563280764
