, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromDistance_Time_plus_dt_Distance,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_raw_Time_plus_dt_Distance,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Distance
10,1920,69,10,454.04175,135.03708999999998,0,4.07764,1.91352,4.52726,12.08435,35.35131,0.01144,17.835693781989217,16.135986070350064,1.6,47,7.52,5.53,0.05069409285653299,2.0,14.458398838734013,33,33,5.28,4.7539,-3.68,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.31999999999999984,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
11,1921,69,11,454.14867999999996,135.22321000000002,0,4.17833,1.8461900000000002,4.20447,10.740739999999999,29.928459999999998,0.00745,29.930520469286208,13.95225860004574,1.76,47,7.52,5.53,0.1278005345458058,2.0,14.458398838734013,33,33,5.28,4.7539,-3.5200000000000005,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,-0.15999999999999992,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
12,1922,69,12,454.04071,135.10001,0,4.414280000000001,1.86342,4.28306,11.05524,31.15039,0.0093,19.584291580369484,10.648055681789783,1.92,47,7.52,5.53,0.06184168162854961,2.0,14.458398838734013,33,33,5.28,4.7539,-3.3600000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.0,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
13,1923,69,13,454.17682,135.25691,0,4.56273,1.83445,4.13839,10.44801,28.718059999999998,0.00854,32.72365601506833,13.501165333871924,2.08,47,7.52,5.53,0.1456072174077672,2.0,14.458398838734013,33,33,5.28,4.7539,-3.2,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.16000000000000014,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
14,1924,69,14,454.17537999999996,135.23023999999998,0,4.79141,1.83902,4.14158,10.39522,28.276220000000002,0.00491,31.590183738145,1.7360750451827156,2.24,47,7.52,5.53,0.13838115156270728,2.0,14.458398838734013,33,33,5.28,4.7539,-3.04,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.3200000000000003,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
15,1925,69,15,454.15067,135.31004,0,4.45796,1.82402,4.097659999999999,10.3027,28.20226,0.009170000000000001,33.77445290159968,5.429980370360264,2.4,47,7.52,5.53,0.15230621450407916,2.0,14.458398838734013,33,33,5.28,4.7539,-2.8800000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.48,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
16,1926,69,16,454.00665,135.17322,0,4.73862,1.8744299999999998,4.31959,11.15428,31.38174,0.0079,20.871292559695515,12.912192787439883,2.56,47,7.52,5.53,0.07004651734319989,2.0,14.458398838734013,33,33,5.28,4.7539,-2.72,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.6400000000000001,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
17,1927,69,17,454.14859,135.33403,0,4.63696,1.8304200000000002,4.1,10.221219999999999,27.57265,0.0056700000000000006,34.80648866784796,13.941980247890765,2.72,47,7.52,5.53,0.1588856064779257,2.0,14.458398838734013,33,33,5.28,4.7539,-2.56,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.8000000000000003,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
18,1928,69,18,453.95291,135.2108,0,4.84656,1.8417599999999998,4.17646,10.598460000000001,29.242559999999997,0.00828,20.655010480812102,15.031212447523005,2.88,47,7.52,5.53,0.06866768472864296,2.0,14.458398838734013,33,33,5.28,4.7539,-2.4000000000000004,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,0.96,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
19,1929,69,19,453.92812999999995,135.35696000000002,0,5.0464400000000005,1.8336400000000002,4.1159,10.286539999999999,27.824040000000004,0.00859,28.586147102442638,9.635971909984766,3.04,47,7.52,5.53,0.11922994074573033,2.0,14.458398838734013,33,33,5.28,4.7539,-2.24,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.12,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
20,1930,69,20,453.97733,135.45803999999998,0,5.51112,1.8515400000000002,4.20294,10.64052,29.199990000000003,0.00366,35.851001820345346,7.307169906331019,3.2,47,7.52,5.53,0.16554454377144698,2.0,14.458398838734013,33,33,5.28,4.7539,-2.08,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.2800000000000002,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
21,1931,69,21,453.82312,135.57057,0,5.23616,1.85535,4.20614,10.61009,28.95133,0.00763,40.9828458387476,12.408655774296863,3.36,47,7.52,5.53,0.1982608647071552,2.0,14.458398838734013,33,33,5.28,4.7539,-1.9200000000000004,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.44,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
22,1932,69,22,453.87057000000004,135.55293,0,5.36895,1.8295099999999997,4.08815,10.14398,27.162640000000003,0.0072299999999999994,40.1502543419723,3.2904847093567415,3.52,47,7.52,5.53,0.192952961637778,2.0,14.458398838734013,33,33,5.28,4.7539,-1.7600000000000002,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.6,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
23,1933,69,23,453.87979,135.43759,0,5.22231,1.80171,3.97666,9.75089,25.80895,0.007209999999999999,32.85020806821503,7.521015150895587,3.68,47,7.52,5.53,0.14641400685245287,2.0,14.458398838734013,33,33,5.28,4.7539,-1.6,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.7600000000000002,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
24,1934,69,24,453.8356,135.56047,0,5.39395,1.81403,4.02423,9.90771,26.296470000000003,0.006640000000000001,40.38601823357401,8.487977283341126,3.84,47,7.52,5.53,0.19445599390357446,2.0,14.458398838734013,33,33,5.28,4.7539,-1.4400000000000004,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,1.92,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
25,1935,69,25,453.7883,135.49158,0,5.337619999999999,1.83129,4.10205,10.21969,27.53029,0.007359999999999999,35.772891060410885,5.4317300073281265,4.0,47,7.52,5.53,0.16504657526706842,2.0,14.458398838734013,33,33,5.28,4.7539,-1.2800000000000002,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.08,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
26,1936,69,26,453.95651,135.45318999999998,0,5.53379,1.8438700000000001,4.18907,10.664660000000001,29.568309999999997,0.00395,35.10193185516816,11.214788181013024,4.16,47,7.52,5.53,0.16076910373543699,2.0,14.458398838734013,33,33,5.28,4.7539,-1.12,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.24,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
27,1937,69,27,453.99402000000003,135.54611,0,4.51199,1.82981,4.144340000000001,10.5642,29.477909999999998,0.00873,41.605468847166534,6.513352398153621,4.32,47,7.52,5.53,0.202230185304653,2.0,14.458398838734013,33,33,5.28,4.7539,-0.96,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.4000000000000004,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
28,1938,69,28,453.78683,135.45367,0,5.06985,1.80191,3.96876,9.694,25.51904,0.00895,33.308254183084664,14.746958668910443,4.48,47,7.52,5.53,0.14933412360652654,2.0,14.458398838734013,33,33,5.28,4.7539,-0.7999999999999998,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.5600000000000005,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
29,1939,69,29,453.86844,135.42731,0,5.12464,1.8478,4.1733400000000005,10.48991,28.530079999999998,0.01086,32.060651875820426,5.57450008364018,4.64,47,7.52,5.53,0.1413804606857087,2.0,14.458398838734013,33,33,5.28,4.7539,-0.6400000000000006,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.7199999999999998,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
30,1940,69,30,454.01187000000004,135.34856000000002,0,5.33746,1.84555,4.1881,10.62907,29.322159999999997,0.0027,30.316982182312135,10.635741547490642,4.8,47,7.52,5.53,0.1302642893652004,2.0,14.458398838734013,33,33,5.28,4.7539,-0.4800000000000004,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,2.88,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
31,1941,69,31,453.90781,135.03041000000002,0,5.12597,1.8477,4.1742099999999995,10.48518,28.44257,0.005529999999999999,9.883877387188477,21.757812465240185,4.96,47,7.52,5.53,0.0,2.0,14.458398838734013,33,33,5.28,4.7539,-0.3200000000000003,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.04,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
32,1942,69,32,454.00695999999994,134.8474,0,5.10294,1.84158,4.16521,10.51485,28.780859999999997,0.00702,15.685367091650516,13.529275349589028,5.12,47,7.52,5.53,0.0369854185738639,2.0,14.458398838734013,33,33,5.28,4.7539,-0.16000000000000014,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.2,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
33,1943,69,33,453.86245999999994,134.73286000000002,0,4.7539,1.84838,4.17363,10.46769,28.32569,0.0058200000000000005,14.458398838734013,11.985348149301702,5.28,47,7.52,5.53,0.02916330102773488,2.0,14.458398838734013,33,33,5.28,4.7539,0.0,46,7.36,2.12562,166.742713332923,0.5,2.765,0,0,0.0,2.80385,3.3600000000000003,13,2.08,4.56273,32.72365601506833,1.2650000000000001,12,12,1.92,4.414280000000001,25,4.0,5.337619999999999,35.772891060410885
