, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
0,3901,142,0,532.00641,267.38104,0,3.25767,2.2450900000000003,6.35579,20.71257,74.77826999999999,0.004070000000000001,0.0,0.0,0.0,50,8.0,5.05,0.0,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-5.44,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-1.6,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
1,3902,142,1,532.04431,267.621,0,3.07247,2.1238099999999998,5.7062800000000005,17.73442,61.52356999999999,0.0031100000000000004,15.790747892674503,15.790747892674503,0.16,50,8.0,5.05,0.04192488480556264,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-5.28,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-1.4400000000000002,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
2,3903,142,2,532.47113,267.38885,0,3.22165,2.29077,6.52156,21.12337,75.09531,0.00283,30.21106543574263,31.581501705152572,0.32,50,8.0,5.05,0.10311814944797366,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-5.12,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-1.28,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
3,3904,142,3,531.99738,267.47153,0,3.5128699999999995,2.1449700000000003,5.89656,18.87013,67.52589,0.00343,5.9110633328519215,31.259191683446794,0.48,50,8.0,5.05,0.0,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.960000000000001,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-1.12,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
4,3905,142,4,531.79309,267.51996,0,3.35465,2.15817,5.90908,18.73934,66.31232,0.00436,16.54683346383726,13.646884132469461,0.64,50,8.0,5.05,0.045133367858053525,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.800000000000001,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.9600000000000001,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
5,3906,142,5,531.93939,267.48779,0,3.9411300000000002,2.27993,6.6219399999999995,22.238120000000002,82.72588,0.0034100000000000003,8.192899441132296,9.736687339773106,0.8,50,8.0,5.05,0.0096830739286828,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.640000000000001,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.8,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
6,3907,142,6,531.92365,267.76981,0,3.96158,2.15465,5.94252,19.07701,68.46485,0.0034100000000000003,25.836280137871597,18.35982824810678,0.96,50,8.0,5.05,0.08455355170684843,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.48,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.6400000000000001,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
7,3908,142,7,531.28888,267.94928,0,3.6245199999999995,2.00687,5.02947,14.42293,46.0047,0.00533,59.4935025331555,42.87746241097983,1.12,50,8.0,5.05,0.22737948539463618,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.32,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.48,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
8,3909,142,8,531.40344,267.86176,0,3.9321,2.06661,5.4147,16.42351,55.729130000000005,0.0038,50.124421977137445,9.37076936009427,1.28,50,8.0,5.05,0.18762137159387052,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.16,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.32000000000000006,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
9,3910,142,9,531.31616,267.99478,0,3.66925,2.03877,5.226719999999999,15.381960000000001,50.35289,0.00611,60.036987071908335,10.341358804820752,1.44,50,8.0,5.05,0.22968578642508386,2.0,61.49657344356376,34,34,5.44,4.845619999999999,-4.0,47,7.5200000000000005,3.2332,0.5,2.525,0,0,0.0,3.25767,-0.16000000000000014,13,2.08,4.28005,1.025,10,10,1.6,4.33592,23,3.68,4.87321
