, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
0,4817,172,0,479.61887,306.18866,0,1.6694799999999999,1.9131,4.508719999999999,11.94749,34.58287,0.01059,0.0,0.0,0.0,98,15.68,9.34,0.0,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-9.120000000000001,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-3.68,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
1,4818,172,1,479.617,305.9061,0,1.73511,1.84855,4.20505,10.72893,29.87893,0.00824,18.36680220840336,18.36680220840336,0.16,98,15.68,9.34,0.038868791880054494,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.96,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-3.52,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
2,4819,172,2,479.39651,306.25427,0,1.7531900000000002,1.80923,4.038469999999999,10.10229,27.57573,0.01028,15.069439643947153,26.787428927114107,0.32,98,15.68,9.34,0.03115176001793577,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.8,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-3.3600000000000003,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
3,4820,172,3,479.71359,306.04446,0,2.09144,1.83733,4.17063,10.62092,29.47438,0.01277,11.214246084334468,24.713677216525177,0.48,98,15.68,9.34,0.02212920003170254,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.64,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-3.2,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
4,4821,172,4,479.50156,306.18402000000003,0,2.48937,1.89193,4.38065,11.311119999999999,31.64501,0.01295,7.631112309652591,16.499467984228122,0.64,98,15.68,9.34,0.013743359237754564,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.48,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-3.04,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
5,4822,172,5,479.70734000000004,306.02612,0,2.73129,1.90345,4.4980400000000005,12.014289999999999,35.22667,0.01317,12.028722430606278,16.859679200392883,0.8,98,15.68,9.34,0.024035371947061252,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.32,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.88,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
6,4823,172,6,479.62994000000003,305.99207,0,3.08201,1.83122,4.12213,10.36087,28.2476,0.01768,12.798592927545828,5.496311177735621,0.96,98,15.68,9.34,0.025837149894876184,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.16,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.72,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
7,4824,172,7,479.46649,306.20776,0,2.9918299999999998,1.8502299999999998,4.17624,10.46074,28.2484,0.01174,9.982204382799862,17.590647574350612,1.12,98,15.68,9.34,0.019245772783304246,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-8.0,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.56,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
8,4825,172,8,479.62784000000005,306.22684,0,3.35656,1.85503,4.2119599999999995,10.650780000000001,29.154220000000002,0.00792,2.5492709139061334,10.560823646976258,1.28,98,15.68,9.34,0.0018499956167974591,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-7.840000000000001,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.4000000000000004,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
9,4826,172,9,479.72073,306.04492,0,3.06011,1.83958,4.17514,10.63284,29.5451,0.01183,11.451193580585125,13.277105394718019,1.44,98,15.68,9.34,0.022683743653300652,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-7.6800000000000015,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.24,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
10,4827,172,10,479.79812999999996,306.30447000000004,0,3.43215,1.8807200000000002,4.3414,11.19346,31.30589,0.00687,13.87199654456499,17.604918817267333,1.6,98,15.68,9.34,0.02834930612626605,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-7.520000000000001,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-2.08,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
11,4828,172,11,479.77646,306.06305,0,3.61964,1.9244599999999998,4.56307,12.1618,35.40017,0.007090000000000001,13.099149928335637,15.755389312632714,1.76,98,15.68,9.34,0.02654056297309808,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-7.360000000000001,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-1.9200000000000002,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
12,4829,172,12,479.67484,306.37964,0,3.78334,1.8440299999999998,4.18124,10.60246,29.24172,0.013309999999999999,12.935816769437054,21.61246114658218,1.92,98,15.68,9.34,0.026158303768439237,2.0,20.025354408164,57,57,9.120000000000001,8.7811,-7.200000000000001,70,11.200000000000001,6.5886,0.5,4.67,18,18,2.88,4.84725,-1.7600000000000002,31,4.96,6.49252,3.67,23,23,3.68,6.1876,36,5.76,7.1135600000000005
