, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,dt,inflectionPoint_fromDistance_AU,inflectionPoint_fromDistance_Index,inflectionPoint_fromDistance_Frame,inflectionPoint_fromDistance_Time,inflectionPoint_fromDistance_Intensity,time_aligned_by_inflectionPoint_fromDistance[s],inflectionPoint_fromDistance_Time_plus_dt_Index,inflectionPoint_fromDistance_Time_plus_dt_Time,inflectionPoint_fromDistance_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_alignment_threshold,inflectionPoint_fromIntensity_raw_AU,inflectionPoint_fromIntensity_raw_Index,inflectionPoint_fromIntensity_raw_Frame,inflectionPoint_fromIntensity_raw_Time,inflectionPoint_fromIntensity_raw_Intensity,time_aligned_by_inflectionPoint_fromIntensity_raw[s],inflectionPoint_fromIntensity_raw_Time_plus_dt_Index,inflectionPoint_fromIntensity_raw_Time_plus_dt_Time,inflectionPoint_fromIntensity_raw_Time_plus_dt_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_AU,inflectionPoint_fromIntensity_minMaxRescaled_Index,inflectionPoint_fromIntensity_minMaxRescaled_Frame,inflectionPoint_fromIntensity_minMaxRescaled_Time,inflectionPoint_fromIntensity_minMaxRescaled_Intensity,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Index,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Time,inflectionPoint_fromIntensity_minMaxRescaled_Time_plus_dt_Intensity
0,1057,42,0,1074.12854,78.93918000000001,0,3.43232,1.83645,4.134930000000001,10.37932,28.23025,0.00648,0.0,0.0,0.0,50,8.0,6.33,0.0,2.0,32.397517794001324,32,32,5.12,5.48525,-5.12,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-1.12,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
1,1058,42,1,1074.17444,78.7013,0,3.97301,1.82827,4.0767,10.08885,26.939559999999997,0.00619,15.74740934535065,15.74740934535065,0.16,50,8.0,6.33,0.06927829483805421,2.0,32.397517794001324,32,32,5.12,5.48525,-4.96,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.9600000000000001,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
2,1059,42,2,1074.0498,78.8172,0,3.7010400000000003,1.83118,4.12399,10.387139999999999,28.44385,0.01034,9.437119862540595,11.062980828420333,0.32,50,8.0,6.33,0.04040700730012816,2.0,32.397517794001324,32,32,5.12,5.48525,-4.8,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.8,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
3,1060,42,3,1074.198,78.91450999999999,0,3.41846,1.81949,4.051480000000001,10.03519,26.87776,0.01082,4.79121014072631,11.523984186148668,0.48,50,8.0,6.33,0.019150709024250197,2.0,32.397517794001324,32,32,5.12,5.48525,-4.640000000000001,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.6400000000000001,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
4,1061,42,4,1074.16614,78.86429,0,4.26673,1.86539,4.25406,10.80358,29.692459999999997,0.00543,5.446934883266189,3.8657834005557197,0.64,50,8.0,6.33,0.022150827741334925,2.0,32.397517794001324,32,32,5.12,5.48525,-4.48,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.4800000000000001,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
5,1062,42,5,1074.15466,78.93424,0,4.1961,1.8358900000000002,4.11987,10.280339999999999,27.7235,0.007670000000000001,1.7278975808763581,4.607575284519505,0.8,50,8.0,6.33,0.005135222417036105,2.0,32.397517794001324,32,32,5.12,5.48525,-4.32,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.32000000000000006,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
6,1063,42,6,1074.00525,78.93498000000001,0,4.22832,1.83503,4.1329199999999995,10.3872,28.30971,0.0040100000000000005,8.018498663870751,9.711769114455207,0.96,50,8.0,6.33,0.03391643018068427,2.0,32.397517794001324,32,32,5.12,5.48525,-4.16,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,-0.16000000000000014,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
7,1064,42,7,1074.18323,78.8998,0,4.81752,1.82424,4.06939,10.09455,27.07297,0.0053100000000000005,4.380527663715718,11.792532237829418,1.12,50,8.0,6.33,0.017271725197460612,2.0,32.397517794001324,32,32,5.12,5.48525,-4.0,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,0.0,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
8,1065,42,8,1074.08862,78.8246,0,4.99314,1.82807,4.09521,10.22585,27.67319,0.0036899999999999997,7.886775154014645,7.855618315739309,1.28,50,8.0,6.33,0.03331375936202843,2.0,32.397517794001324,32,32,5.12,5.48525,-3.84,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,0.15999999999999992,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
9,1066,42,9,1074.13354,78.94704,0,5.158980000000001,1.8290099999999998,4.10214,10.25504,27.773529999999997,0.0027,0.6055111972574883,8.477295913203415,1.44,50,8.0,6.33,0.0,2.0,32.397517794001324,32,32,5.12,5.48525,-3.68,45,7.2,4.99755,0.5,3.165,0,0,0.0,3.43232,0.31999999999999984,13,2.08,5.8284400000000005,1.665,7,7,1.12,4.81752,20,3.2,4.90679
