,trackIds,lifetimes_frames,lifetimes_seconds,maxIntensities
0,573,56,28.17,7.01
1,1325,56,28.17,5.3
2,42,51,25.65,6.33
3,617,55,27.66,6.44
4,601,45,22.64,4.41
5,292,74,37.22,7.64
6,787,46,23.14,3.62
7,1554,45,22.64,3.99
8,142,51,25.65,5.05
9,905,60,30.18,4.39
10,952,62,31.19,4.7
11,59,37,18.61,5.44
12,505,38,19.11,4.78
13,600,67,33.7,5.58
14,231,66,33.2,8.66
15,227,38,19.11,4.69
16,765,56,28.17,5.78
17,509,74,37.22,5.42
18,2334,57,28.67,4.43
19,980,88,44.26,4.49
20,543,46,23.14,4.14
21,902,45,22.64,4.54
22,871,36,18.11,3.59
23,172,99,49.8,9.34
24,963,59,29.68,5.62
25,430,56,28.17,7.03
26,959,61,30.68,9.54
27,1334,58,29.17,4.3
28,69,48,24.14,5.53
29,73,40,20.12,5.27
30,344,49,24.65,5.56
31,1197,53,26.66,6.41
32,539,41,20.62,5.44
33,1590,60,30.18,5.19
34,916,45,22.64,5.58
35,1252,63,31.69,3.98
36,243,37,18.61,5.48
37,701,57,28.67,5.66
38,644,53,26.66,3.39
39,1272,51,25.65,4.76
40,1423,36,18.11,4.88
41,170,71,35.71,6.13
42,920,78,39.23,4.16
43,561,43,21.63,3.95
44,977,54,27.16,3.33
45,472,37,18.61,3.98
46,921,33,16.6,3.45
47,126,35,17.6,4.08
48,409,70,35.21,5.08
49,67,49,24.65,4.83
50,1253,49,24.65,5.0
51,612,57,28.67,3.99
52,1195,43,21.63,5.41
53,1005,45,22.64,4.74
54,805,57,28.67,6.09
55,662,41,20.62,4.03
56,530,42,21.13,4.12
57,1540,54,27.16,4.98
58,443,58,29.17,4.13
59,2507,49,24.65,3.53
60,290,63,31.69,6.36
61,643,46,23.14,4.34
62,839,84,42.25,4.6
63,317,64,32.19,4.47
64,985,69,34.71,4.39
65,784,82,41.25,4.56
66,383,72,36.22,9.5
67,268,70,35.21,5.26
68,1577,67,33.7,5.19
69,1259,81,40.74,8.34
70,2025,69,34.71,4.67
71,462,92,46.28,6.42
72,2463,49,24.65,5.66
73,57,42,21.13,5.55
74,225,115,57.84,6.0
75,726,66,33.2,5.2
76,16,73,36.72,6.8
