,time[frames],multi_alignedByDistance_intensity_mean,multi_alignedByDistance_intensity_std,multi_alignedByDistance_intensity_mean_normalized,multi_alignedByDistance_intensity_std_normalized,multi_alignedByDistance_distance_mean,multi_alignedByDistance_distance_std,multi_alignedByDistance_distance_mean_normalized,multi_alignedByDistance_distance_std_normalized
78,-212.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-211.763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,-211.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,-210.757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,-210.254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,-209.751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,-209.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,-208.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,-208.242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,-207.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,-207.236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,-206.733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,-206.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,-205.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,-205.224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,-204.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,-204.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,-203.715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,-203.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,-202.709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,-202.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,-201.703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-201.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,-200.697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,-200.194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,-199.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,-199.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,-198.685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,-198.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,-197.679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,-197.176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,-196.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,-196.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,-195.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,-195.164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,-194.661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,-194.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,-193.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,-193.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-192.649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,-192.14600000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,-191.643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,-191.14000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,-190.637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,-190.13400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,-189.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,-189.12800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,-188.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,-188.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,-187.619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,-187.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,-186.613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,-186.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,-185.607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,-185.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,-184.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,-184.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,-183.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,-183.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,-182.589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,-182.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,-181.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,-181.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,-180.577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,-180.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,-179.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,-179.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,-178.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,-178.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,-177.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,-177.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,-176.553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,-176.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,-175.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,-175.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,-174.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,-174.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,-173.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,-173.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,-172.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,-172.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,-171.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,-171.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,-170.517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,-170.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,-169.511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,-169.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,-168.505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,-168.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,-167.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,-166.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,-166.493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,-165.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,-165.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,-164.984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,-164.481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,-163.978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,-163.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,-162.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,-162.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,-161.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,-161.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,-160.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,-160.457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,-159.954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,-159.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,-158.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,-158.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,-157.942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,-157.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,-156.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,-156.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,-155.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,-155.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,-154.924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,-154.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,-153.918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,-153.415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,-152.912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,-152.409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,-151.906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,-151.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,-150.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,-150.397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,-149.894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,-149.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,-148.888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,-148.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,-147.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,-147.379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,-146.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,-146.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
210,-145.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,-145.367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,-144.864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,-144.361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,-143.858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,-143.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,-142.852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,-142.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,-141.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,-141.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,-140.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,-140.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
