, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,8509,290,0,1182.76416,457.67883,0,1.27759,1.96707,4.7884199999999995,13.11863,39.183440000000004,0.00589,0.0,0.0,0.0,63,31.69,6.36,0.0,49,49,24.647,5.38561,-24.647,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-4.527,49,24.647,5.38561
1,8510,290,1,1182.5430900000001,458.26797,0,1.2682200000000001,2.03727,5.1038,14.34685,43.85622,0.0131,40.901369928305684,40.901369928305684,0.503,63,31.69,6.36,0.13838747527192075,49,49,24.647,5.38561,-24.144,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-4.024,49,24.647,5.38561
2,8511,290,2,1182.78198,458.51669000000004,0,1.5576299999999998,1.90284,4.49969,12.07082,35.792429999999996,0.00804,54.47321624156453,22.416055582156076,1.006,63,31.69,6.36,0.19399381433304275,49,49,24.647,5.38561,-23.641,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-3.521,49,24.647,5.38561
3,8512,290,3,1182.78552,458.03058,0,1.6389099999999999,1.93183,4.56838,12.04612,34.37307,0.014219999999999998,22.90586646740169,31.597987817782275,1.509,63,31.69,6.36,0.0646566029995877,49,49,24.647,5.38561,-23.137999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-3.0180000000000002,49,24.647,5.38561
4,8513,290,4,1182.8233599999999,457.58484000000004,0,1.95965,1.9245,4.53622,11.93873,34.06875,0.00919,7.2201981567287765,29.077313420771453,2.012,63,31.69,6.36,0.00038954821932042004,49,49,24.647,5.38561,-22.634999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-2.515,49,24.647,5.38561
5,8514,290,5,1182.55188,457.78045999999995,0,2.17636,1.8006799999999998,3.9687,9.72588,25.77855,0.00944,15.298003093292511,21.750108701557703,2.515,63,31.69,6.36,0.03348579391828255,49,49,24.647,5.38561,-22.131999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-2.012,49,24.647,5.38561
6,8515,290,6,1182.4314,457.81259000000006,0,2.25078,1.90937,4.4722,11.71009,33.29177,0.00703,23.311446452763928,8.104894622545904,3.018,63,31.69,6.36,0.06631833845266491,49,49,24.647,5.38561,-21.628999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-1.5090000000000003,49,24.647,5.38561
7,8516,290,7,1182.78821,457.96579,0,2.4977099999999997,1.84286,4.1551,10.42436,28.277590000000004,0.01048,18.71779304091566,25.240062955992176,3.521,63,31.69,6.36,0.04749729942432214,49,49,24.647,5.38561,-21.125999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-1.0060000000000002,49,24.647,5.38561
8,8517,290,8,1182.74475,458.05062999999996,0,2.4325200000000002,1.91173,4.49769,11.83692,33.812090000000005,0.006840000000000001,24.199910118062945,6.196036892232042,4.024,63,31.69,6.36,0.06995853674814956,49,49,24.647,5.38561,-20.622999999999998,49,24.647,5.38561,0.5,9,9,4.527,3.29746,-0.5030000000000001,49,24.647,5.38561
9,8518,290,9,1182.59448,457.91397,0,3.29746,1.8760299999999999,4.33595,11.24215,31.78834,0.00717,18.84799632454233,13.202687052738833,4.527,63,31.69,6.36,0.04803076611478583,49,49,24.647,5.38561,-20.119999999999997,49,24.647,5.38561,0.5,9,9,4.527,3.29746,0.0,49,24.647,5.38561
