, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,1910,69,0,453.78464,134.94124,0,2.80385,1.92867,4.59558,12.31528,36.00307,0.004379999999999999,0.0,0.0,0.0,48,24.14,5.53,0.0,33,33,16.599,4.7539,-16.599,33,16.599,4.7539,0.5,0,0,0.0,2.80385,0.0,33,16.599,4.7539
1,1911,69,1,454.15189000000004,135.2196,0,2.64745,1.83612,4.12956,10.347430000000001,28.084690000000002,0.01091,29.953425515666616,29.953425515666616,0.503,48,24.14,5.53,0.12794655785550532,33,33,16.599,4.7539,-16.096,33,16.599,4.7539,0.5,0,0,0.0,2.80385,0.503,33,16.599,4.7539
2,1912,69,2,453.89758,135.23183999999998,0,2.84082,1.83949,4.16159,10.51598,28.82767,0.008620000000000001,20.26539094638791,16.54928513207037,1.006,48,24.14,5.53,0.06618379829613762,33,33,16.599,4.7539,-15.593,33,16.599,4.7539,0.5,0,0,0.0,2.80385,1.006,33,16.599,4.7539
3,1913,69,3,453.80219000000005,135.27216,0,3.4406,1.85968,4.22964,10.71433,29.3873,0.01201,21.540028008397783,6.731488153630959,1.509,48,24.14,5.53,0.07430981207358803,33,33,16.599,4.7539,-15.09,33,16.599,4.7539,0.5,0,0,0.0,2.80385,1.509,33,16.599,4.7539
4,1914,69,4,453.80029,135.36154,0,3.34142,1.81066,4.00888,9.85753,26.15588,0.00941,27.338432248621903,5.811012505577947,2.012,48,24.14,5.53,0.11127556032273406,33,33,16.599,4.7539,-14.587,33,16.599,4.7539,0.5,0,0,0.0,2.80385,2.012,33,16.599,4.7539
5,1915,69,5,453.9234,135.41765,0,3.1688400000000003,1.8614099999999998,4.24598,10.804110000000001,29.8016,0.0101,32.25341824648283,8.794095049805033,2.515,48,24.14,5.53,0.1426093769243138,33,33,16.599,4.7539,-14.084,33,16.599,4.7539,0.5,0,0,0.0,2.80385,2.515,33,16.599,4.7539
6,1916,69,6,453.93542,135.37259,0,3.64305,1.8619599999999998,4.28463,11.0786,31.260590000000004,0.00822,29.70133238682281,3.0313173538914033,3.018,48,24.14,5.53,0.12633942410799354,33,33,16.599,4.7539,-13.581,33,16.599,4.7539,0.5,0,0,0.0,2.80385,3.018,33,16.599,4.7539
7,1917,69,7,454.13622999999995,135.14801,0,3.80396,1.9096400000000002,4.4726,11.70773,33.27621,0.00585,26.51246028238051,19.58225005744724,3.521,48,24.14,5.53,0.10600985781218412,33,33,16.599,4.7539,-13.078,33,16.599,4.7539,0.5,0,0,0.0,2.80385,3.521,33,16.599,4.7539
8,1918,69,8,453.82797,135.18832,0,4.06835,1.9072,4.48856,11.89831,34.56837,0.0034799999999999996,16.305287934977162,20.20748741512417,4.024,48,24.14,5.53,0.04093751243959364,33,33,16.599,4.7539,-12.575,33,16.599,4.7539,0.5,0,0,0.0,2.80385,4.024,33,16.599,4.7539
9,1919,69,9,454.08768,135.28105,0,3.60394,1.8598400000000002,4.25408,10.88868,30.31186,0.0071400000000000005,29.594927407959286,17.924937345077566,4.527,48,24.14,5.53,0.1256610754627165,33,33,16.599,4.7539,-12.072,33,16.599,4.7539,0.5,0,0,0.0,2.80385,4.527,33,16.599,4.7539
10,1920,69,10,454.04175,135.03708999999998,0,4.07764,1.91352,4.52726,12.08435,35.35131,0.01144,17.835693781989217,16.135986070350064,5.03,48,24.14,5.53,0.05069409285653299,33,33,16.599,4.7539,-11.568999999999999,33,16.599,4.7539,0.5,0,0,0.0,2.80385,5.03,33,16.599,4.7539
11,1921,69,11,454.14867999999996,135.22321000000002,0,4.17833,1.8461900000000002,4.20447,10.740739999999999,29.928459999999998,0.00745,29.930520469286208,13.95225860004574,5.533,48,24.14,5.53,0.1278005345458058,33,33,16.599,4.7539,-11.065999999999999,33,16.599,4.7539,0.5,0,0,0.0,2.80385,5.533,33,16.599,4.7539
12,1922,69,12,454.04071,135.10001,0,4.414280000000001,1.86342,4.28306,11.05524,31.15039,0.0093,19.584291580369484,10.648055681789783,6.036,48,24.14,5.53,0.06184168162854961,33,33,16.599,4.7539,-10.563,33,16.599,4.7539,0.5,0,0,0.0,2.80385,6.036,33,16.599,4.7539
