 ,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,,Trajectory
66,65,123.08801,225.47285,0,4.94661,2.09515,5.52889,16.81562,57.04462,0.01156,,69
67,66,123.02483,225.22667,0,4.4972,1.96328,4.82194,13.5406,42.30611,0.00752,,69
68,67,122.88659,225.39424,0,5.37023,2.04468,5.21085,15.16857,48.95197,0.00944,,69
69,68,123.13264,225.545,0,5.57856,2.06271,5.24794,15.09113,47.6185,0.01274,,69
70,69,123.21301,225.54912,0,4.84707,2.04648,5.22792,15.25138,49.29579,0.00756,,69
71,70,123.1004,225.53773,0,4.90156,2.01529,5.01609,14.12711,43.75621,0.01426,,69
72,71,123.18089,225.43672,0,5.10896,2.00182,4.99911,14.27616,45.36095,0.01376,,69
73,72,122.96591,225.39876,0,4.7669,1.98699,4.98569,14.44663,46.92245,0.01495,,69
74,73,123.13081,225.60277,0,4.97232,1.98643,4.9001,13.71715,42.35644,0.01022,,69
75,74,123.01418,225.37515,0,5.27227,2.00496,5.00665,14.2647,45.10298,0.00735,,69
76,75,122.96144,225.5405,0,5.0237,1.97104,4.91907,14.23243,46.38116,0.00956,,69
77,76,123.21327,225.42102,0,5.38433,2.08285,5.38522,15.83121,51.32078,0.00775,,69
78,77,123.16672,225.65862,0,4.59647,2.11369,5.63469,17.30305,59.14187,0.00741,,69
79,78,122.88023,225.45227,0,4.31077,1.92823,4.62517,12.64354,38.40699,0.01239,,69
80,79,123.07915,225.20073,0,5.28665,2.01878,5.05989,14.39509,45.12103,0.0127,,69
81,80,123.08163,225.35109,0,5.16167,2.02787,5.15708,15.02358,48.61466,0.00788,,69
82,81,122.91045,225.08888,0,4.56114,1.88302,4.51765,12.5967,39.64742,0.01191,,69
83,82,123.04356,224.73085,0,4.19474,1.88003,4.34863,11.2716,31.83236,0.01046,,69
84,83,122.89621,225.06207,0,4.86699,1.92686,4.64325,12.77344,38.98177,0.00817,,69
85,84,122.91033,225.16875,0,5.05315,1.9779,4.86424,13.62738,42.34105,0.01975,,69
86,85,122.9775,225.26955,0,4.9998,1.9746,4.85887,13.63397,42.44315,0.00873,,69
87,86,123.02277,225.26216,0,5.49661,2.11297,5.6222,17.22599,58.77357,0.00772,,69
88,87,122.90118,224.98529,0,5.12557,1.85983,4.30072,11.27934,32.68747,0.00754,,69
89,88,122.82169,224.78081,0,5.44099,1.89666,4.43752,11.70355,33.89067,0.00851,,69
90,89,123.06784,225.05823,0,4.90798,1.98718,5.01377,14.65303,48.0277,0.00794,,69
91,90,122.90874,224.90182,0,5.18342,1.87743,4.46844,12.31406,38.25763,0.01422,,69
92,91,122.94244,225.16646,0,5.16482,1.99229,4.88856,13.5307,41.11464,0.01805,,69
93,92,123.05259,225.37096,0,5.50828,1.93606,4.62884,12.507,37.20291,0.00908,,69
94,93,123.10207,224.99187,0,5.19459,1.91496,4.61217,12.75003,39.33744,0.00831,,69
95,94,123.06732,225.19502,0,5.15704,2.00436,4.99273,14.14825,44.33177,0.00985,,69
96,95,123.03236,225.20998,0,5.33549,1.99422,4.96176,14.09534,44.4429,0.00856,,69
97,96,122.93881,225.0284,0,5.49675,1.96209,4.86937,13.98077,45.07187,0.01074,,69
98,97,122.96454,224.93582,0,4.9504,1.92988,4.69587,13.14584,41.13494,0.01748,,69
99,98,123.19939,225.21313,0,5.66779,2.02441,5.09441,14.59124,46.21074,0.00811,,69
100,99,123.07206,225.0249,0,5.59126,2.0221,5.13268,14.91229,48.0224,0.01541,,69
101,100,122.91878,224.9489,0,5.98552,1.89257,4.4317,11.69617,33.80156,0.01102,,69
102,101,122.94878,224.88687,0,5.91232,1.97099,4.87627,13.81527,43.50111,0.0168,,69
103,102,122.90832,224.78262,0,5.64285,1.87009,4.34213,11.42459,33.1785,0.00873,,69
104,103,122.88226,225.03,0,5.65819,1.89951,4.53451,12.40155,37.76185,0.00845,,69
105,104,122.91618,224.75,0,5.9393,1.94106,4.65752,12.58327,37.13668,0.00923,,69
106,105,122.8795,224.96347,0,5.49895,1.89919,4.53113,12.40302,37.90477,0.01132,,69
107,106,122.9724,224.85008,0,6.1201,1.92782,4.61628,12.52441,37.41867,0.00876,,69
108,107,122.90521,224.90367,0,5.70179,1.89269,4.49308,12.20366,36.90301,0.01695,,69
109,108,122.88385,225.00636,0,5.52856,2.02706,5.19551,15.34781,50.53784,0.00772,,69
110,109,122.85811,225.09415,0,6.12891,1.98403,4.94993,14.17253,45.14867,0.0077,,69
