,trackIds,lifetimes_frames,lifetimes_seconds,maxIntensities
0,1005,45,22.86,4.74
1,1195,43,21.84,5.41
2,1197,53,26.92,6.41
3,1252,63,32.0,3.98
4,1253,49,24.89,5.0
5,1259,81,41.15,8.34
6,126,35,17.78,4.08
7,1272,51,25.91,4.76
8,1325,56,28.45,5.3
9,1334,58,29.46,4.3
10,1423,36,18.29,4.88
11,142,51,25.91,5.05
12,1540,54,27.43,4.98
13,1554,45,22.86,3.99
14,1577,67,34.04,5.19
15,1590,60,30.48,5.19
16,16,73,37.08,6.8
17,170,71,36.07,6.13
18,172,99,50.29,9.34
19,2025,69,35.05,4.67
20,225,115,58.42,6.0
21,227,38,19.3,4.69
22,231,66,33.53,8.66
23,2334,57,28.96,4.43
24,243,37,18.8,5.48
25,2463,49,24.89,5.66
26,2507,49,24.89,3.53
27,268,70,35.56,5.26
28,290,63,32.0,6.36
29,292,74,37.59,7.64
30,317,64,32.51,4.47
31,344,49,24.89,5.56
32,383,72,36.58,9.5
33,409,70,35.56,5.08
34,42,51,25.91,6.33
35,430,56,28.45,7.03
36,443,58,29.46,4.13
37,462,92,46.74,6.42
38,472,37,18.8,3.98
39,505,38,19.3,4.78
40,509,74,37.59,5.42
41,530,42,21.34,4.12
42,539,41,20.83,5.44
43,543,46,23.37,4.14
44,561,43,21.84,3.95
45,573,56,28.45,7.01
46,57,42,21.34,5.55
47,59,37,18.8,5.44
48,600,67,34.04,5.58
49,601,45,22.86,4.41
50,612,57,28.96,3.99
51,617,55,27.94,6.44
52,643,46,23.37,4.34
53,644,53,26.92,3.39
54,662,41,20.83,4.03
55,67,49,24.89,4.83
56,69,48,24.38,5.53
57,701,57,28.96,5.66
58,726,66,33.53,5.2
59,73,40,20.32,5.27
60,765,56,28.45,5.78
61,784,82,41.66,4.56
62,787,46,23.37,3.62
63,805,57,28.96,6.09
64,839,84,42.67,4.6
65,871,36,18.29,3.59
66,902,45,22.86,4.54
67,905,60,30.48,4.39
68,916,45,22.86,5.58
69,920,78,39.62,4.16
70,921,33,16.76,3.45
71,952,62,31.5,4.7
72,959,61,30.99,9.54
73,963,59,29.97,5.62
74,977,54,27.43,3.33
75,980,88,44.7,4.49
76,985,69,35.05,4.39
