, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,1991,73,0,841.09515,138.02257,0,1.82191,2.23755,6.66198,23.54904,93.23252,0.00927,0.0,0.0,0.0,40,20.32,5.27,0.0,27,28,14.224,5.26698,-14.224,28,14.224,5.26698,0.5,2,3,1.524,2.71044,-1.524,28,14.224,5.26698
1,1992,73,1,840.97113,138.14099,0,2.25923,2.17321,6.33987,22.12139,86.94472,0.00494,11.1459851507,11.1459851507,0.508,40,20.32,5.27,0.0,27,28,14.224,5.26698,-13.716,28,14.224,5.26698,0.5,2,3,1.524,2.71044,-1.016,28,14.224,5.26698
2,1993,73,3,841.08783,138.31799,0,2.71044,2.14042,6.11347,20.86765,80.47764,0.00687,19.2081938487,13.7805963314,1.524,40,20.32,5.27,0.0321581351988,27,28,14.224,5.26698,-12.7,28,14.224,5.26698,0.5,2,3,1.524,2.71044,0.0,28,14.224,5.26698
3,1994,73,4,841.23853,138.45381,0,2.81893,2.09417,5.791,19.11686,71.7075,0.00287,29.5393186186,13.1867623449,2.032,40,20.32,5.27,0.0733664094508,27,28,14.224,5.26698,-12.192,28,14.224,5.26698,0.5,2,3,1.524,2.71044,0.508,28,14.224,5.26698
4,1995,73,5,840.9007,138.19112,0,2.83251,2.20655,6.44238,22.31005,86.70979,0.00388,16.7265985372,27.8162899687,2.54,40,20.32,5.27,0.0222596718216,27,28,14.224,5.26698,-11.684,28,14.224,5.26698,0.5,2,3,1.524,2.71044,1.016,28,14.224,5.26698
5,1996,73,6,842.11066,138.63312,0,2.71901,1.7236,3.66857,8.75556,22.89927,0.00337,77.0197028005,83.7306779308,3.048,40,20.32,5.27,0.262753793356,27,28,14.224,5.26698,-11.176,28,14.224,5.26698,0.5,2,3,1.524,2.71044,1.524,28,14.224,5.26698
6,1997,73,7,841.37268,138.50766,0,2.73816,2.13784,6.06241,20.46425,77.95326,0.00334,36.3265227902,48.6569478461,3.556,40,20.32,5.27,0.100438870305,27,28,14.224,5.26698,-10.668,28,14.224,5.26698,0.5,2,3,1.524,2.71044,2.032,28,14.224,5.26698
7,1998,73,8,842.04303,139.06393,0,2.73896,1.78373,3.97536,10.08124,28.45344,0.00905,91.5302282495,56.6211353168,4.064,40,20.32,5.27,0.320632652199,27,28,14.224,5.26698,-10.16,28,14.224,5.26698,0.5,2,3,1.524,2.71044,2.54,28,14.224,5.26698
8,1999,73,9,841.96191,139.07471,0,2.94408,1.81452,4.14896,10.96102,32.85627,0.01365,88.6069804878,5.31915409911,4.572,40,20.32,5.27,0.308972547597,27,28,14.224,5.26698,-9.652,28,14.224,5.26698,0.5,2,3,1.524,2.71044,3.048,28,14.224,5.26698
9,2000,73,10,842.13556,139.0571,0,3.07924,1.72883,3.66634,8.64609,22.06695,0.00486,95.3686523236,11.3451415234,5.08,40,20.32,5.27,0.335943166346,27,28,14.224,5.26698,-9.144,28,14.224,5.26698,0.5,2,3,1.524,2.71044,3.556,28,14.224,5.26698
10,2001,73,11,842.19342,139.03819,0,3.29762,1.78147,3.90614,9.56435,25.43515,0.00794,97.2327214938,3.95666254974,5.588,40,20.32,5.27,0.343378472307,27,28,14.224,5.26698,-8.636,28,14.224,5.26698,0.5,2,3,1.524,2.71044,4.064,28,14.224,5.26698
11,2002,73,12,842.07324,139.04857,0,3.28206,1.77181,3.85961,9.36521,24.59787,0.00523,92.1381831991,7.84078293156,6.096,40,20.32,5.27,0.323057632523,27,28,14.224,5.26698,-8.128,28,14.224,5.26698,0.5,2,3,1.524,2.71044,4.572,28,14.224,5.26698
12,2003,73,13,842.1944,139.02997,0,3.58644,1.76852,3.84195,9.29932,24.3942,0.00876,96.9177098758,7.96766001784,6.604,40,20.32,5.27,0.342121969706,27,28,14.224,5.26698,-7.62,28,14.224,5.26698,0.5,2,3,1.524,2.71044,5.08,28,14.224,5.26698
13,2004,73,14,842.1684,139.17137,0,3.68578,1.73636,3.69104,8.70545,22.16803,0.00529,102.188744906,9.34508325271,7.112,40,20.32,5.27,0.363146810851,27,28,14.224,5.26698,-7.112,28,14.224,5.26698,0.5,2,3,1.524,2.71044,5.588,28,14.224,5.26698
14,2005,73,15,842.20038,139.07506,0,3.25439,1.75169,3.79384,9.20955,24.39938,0.00396,99.2026191006,6.59624678984,7.62,40,20.32,5.27,0.351235901449,27,28,14.224,5.26698,-6.604,28,14.224,5.26698,0.5,2,3,1.524,2.71044,6.096,28,14.224,5.26698
15,2006,73,16,841.99164,138.90662,0,3.39444,1.85558,4.34126,11.71657,35.71285,0.00963,81.8390713717,17.4345972013,8.128,40,20.32,5.27,0.281977049897,27,28,14.224,5.26698,-6.096,28,14.224,5.26698,0.5,2,3,1.524,2.71044,6.604,28,14.224,5.26698
16,2007,73,17,842.29797,139.11626,0,3.34058,1.74506,3.74095,8.93132,23.11835,0.00723,105.671165281,24.1277862363,8.636,40,20.32,5.27,0.377037315231,27,28,14.224,5.26698,-5.588,28,14.224,5.26698,0.5,2,3,1.524,2.71044,7.112,28,14.224,5.26698
17,2008,73,18,842.09094,139.18121,0,3.38263,1.7667,3.82453,9.20439,23.95983,0.00571,99.3042671736,14.1036405359,9.144,40,20.32,5.27,0.351641350203,27,28,14.224,5.26698,-5.08,28,14.224,5.26698,0.5,2,3,1.524,2.71044,7.62,28,14.224,5.26698
18,2009,73,19,842.19977,139.08664,0,3.68435,1.7553,3.77142,8.99459,23.16359,0.00498,99.6946240115,9.37160564177,9.652,40,20.32,5.27,0.353198386052,27,28,14.224,5.26698,-4.572,28,14.224,5.26698,0.5,2,3,1.524,2.71044,8.128,28,14.224,5.26698
19,2010,73,20,842.10754,139.08998,0,3.65482,1.87154,4.27817,10.87898,29.90774,0.01267,95.6250879495,5.99887972145,10.16,40,20.32,5.27,0.336966023956,27,28,14.224,5.26698,-4.064,28,14.224,5.26698,0.5,2,3,1.524,2.71044,8.636,28,14.224,5.26698
20,2011,73,21,842.14069,139.05391,0,3.82177,1.85132,4.2057,10.66331,29.31883,0.00886,95.4596667102,3.18431503859,10.668,40,20.32,5.27,0.336306199983,27,28,14.224,5.26698,-3.556,28,14.224,5.26698,0.5,2,3,1.524,2.71044,9.144,28,14.224,5.26698
21,2012,73,22,842.14691,139.12636,0,4.39233,1.76771,3.84465,9.32764,24.55363,0.00729,99.102118674,4.72657318281,11.176,40,20.32,5.27,0.350835030369,27,28,14.224,5.26698,-3.048,28,14.224,5.26698,0.5,2,3,1.524,2.71044,9.652,28,14.224,5.26698
22,2013,73,23,842.22034,139.14877,0,4.25212,1.77145,3.85103,9.31361,24.35751,0.00669,103.478264259,4.99027864203,11.684,40,20.32,5.27,0.368290381208,27,28,14.224,5.26698,-2.54,28,14.224,5.26698,0.5,2,3,1.524,2.71044,10.16,28,14.224,5.26698
23,2014,73,24,842.1217,139.23184,0,4.35805,1.78514,3.91118,9.54447,25.22588,0.00554,103.105220913,8.3823478073,12.192,40,20.32,5.27,0.366802404552,27,28,14.224,5.26698,-2.032,28,14.224,5.26698,0.5,2,3,1.524,2.71044,10.668,28,14.224,5.26698
24,2015,73,25,842.07672,139.26361,0,4.87369,1.82961,4.08471,10.12321,27.06957,0.0103,102.849225928,3.57944872747,12.7,40,20.32,5.27,0.365781304546,27,28,14.224,5.26698,-1.524,28,14.224,5.26698,0.5,2,3,1.524,2.71044,11.176,28,14.224,5.26698
