, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,8509,290,0,1182.76416,457.67883,0,1.27759,1.96707,4.78842,13.11863,39.18344,0.00589,0.0,0.0,0.0,63,32.0,6.36,0.0,49,49,24.892,5.38561,-24.892,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-4.572,49,24.892,5.38561
1,8510,290,1,1182.54309,458.26797,0,1.26822,2.03727,5.1038,14.34685,43.85622,0.0131,40.9013699283,40.9013699283,0.508,63,32.0,6.36,0.138387475272,49,49,24.892,5.38561,-24.384,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-4.064,49,24.892,5.38561
2,8511,290,2,1182.78198,458.51669,0,1.55763,1.90284,4.49969,12.07082,35.79243,0.00804,54.4732162416,22.4160555822,1.016,63,32.0,6.36,0.193993814333,49,49,24.892,5.38561,-23.876,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-3.556,49,24.892,5.38561
3,8512,290,3,1182.78552,458.03058,0,1.63891,1.93183,4.56838,12.04612,34.37307,0.01422,22.9058664674,31.5979878178,1.524,63,32.0,6.36,0.0646566029996,49,49,24.892,5.38561,-23.368,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-3.048,49,24.892,5.38561
4,8513,290,4,1182.82336,457.58484,0,1.95965,1.9245,4.53622,11.93873,34.06875,0.00919,7.22019815673,29.0773134208,2.032,63,32.0,6.36,0.00038954821932,49,49,24.892,5.38561,-22.86,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-2.54,49,24.892,5.38561
5,8514,290,5,1182.55188,457.78046,0,2.17636,1.80068,3.9687,9.72588,25.77855,0.00944,15.2980030933,21.7501087016,2.54,63,32.0,6.36,0.0334857939183,49,49,24.892,5.38561,-22.352,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-2.032,49,24.892,5.38561
6,8515,290,6,1182.4314,457.81259,0,2.25078,1.90937,4.4722,11.71009,33.29177,0.00703,23.3114464528,8.10489462255,3.048,63,32.0,6.36,0.0663183384527,49,49,24.892,5.38561,-21.844,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-1.524,49,24.892,5.38561
7,8516,290,7,1182.78821,457.96579,0,2.49771,1.84286,4.1551,10.42436,28.27759,0.01048,18.7177930409,25.240062956,3.556,63,32.0,6.36,0.0474972994243,49,49,24.892,5.38561,-21.336,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-1.016,49,24.892,5.38561
8,8517,290,8,1182.74475,458.05063,0,2.43252,1.91173,4.49769,11.83692,33.81209,0.00684,24.1999101181,6.19603689223,4.064,63,32.0,6.36,0.0699585367481,49,49,24.892,5.38561,-20.828,49,24.892,5.38561,0.5,9,9,4.572,3.29746,-0.508,49,24.892,5.38561
9,8518,290,9,1182.59448,457.91397,0,3.29746,1.87603,4.33595,11.24215,31.78834,0.00717,18.8479963245,13.2026870527,4.572,63,32.0,6.36,0.0480307661148,49,49,24.892,5.38561,-20.32,49,24.892,5.38561,0.5,9,9,4.572,3.29746,0.0,49,24.892,5.38561
10,8519,290,10,1182.71716,457.77786,0,2.85795,1.83014,4.10308,10.24653,27.71959,0.00723,7.12512107283,11.9104965792,5.08,63,32.0,6.36,0.0,49,49,24.892,5.38561,-19.812,49,24.892,5.38561,0.5,9,9,4.572,3.29746,0.508,49,24.892,5.38561
11,8520,290,11,1182.62109,457.82312,0,3.24064,1.87668,4.3064,11.01955,30.57397,0.00655,13.2077423326,6.9028385692,5.588,63,32.0,6.36,0.0249216128996,49,49,24.892,5.38561,-19.304,49,24.892,5.38561,0.5,9,9,4.572,3.29746,1.016,49,24.892,5.38561
12,8521,290,12,1182.66235,458.15091,0,3.66299,1.91861,4.50004,11.76683,33.31901,0.00729,31.3906799952,21.4744764298,6.096,63,32.0,6.36,0.0994204374115,49,49,24.892,5.38561,-18.796,49,24.892,5.38561,0.5,9,9,4.572,3.29746,1.524,49,24.892,5.38561
13,8522,290,13,1182.57544,458.12152,0,3.29272,1.90395,4.44817,11.62783,33.0474,0.00722,31.2804471637,5.96341620592,6.604,63,32.0,6.36,0.0989687933196,49,49,24.892,5.38561,-18.288,49,24.892,5.38561,0.5,9,9,4.572,3.29746,2.032,49,24.892,5.38561
14,8523,290,14,1182.72705,457.96204,0,3.89251,1.94025,4.62208,12.31491,35.60571,0.00713,18.566013639,14.3028748531,7.112,63,32.0,6.36,0.0468754314273,49,49,24.892,5.38561,-17.78,49,24.892,5.38561,0.5,9,9,4.572,3.29746,2.54,49,24.892,5.38561
15,8524,290,15,1182.52661,457.93994,0,4.23942,1.89121,4.41152,11.5422,32.87634,0.0106,22.9449479447,13.107553174,7.62,63,32.0,6.36,0.0648167269671,49,49,24.892,5.38561,-17.272,49,24.892,5.38561,0.5,9,9,4.572,3.29746,3.048,49,24.892,5.38561
16,8525,290,16,1182.61011,457.96274,0,4.22547,1.92663,4.5418,11.93728,33.95952,0.00905,20.9957335615,5.62619589509,8.128,63,32.0,6.36,0.0568304387795,49,49,24.892,5.38561,-16.764,49,24.892,5.38561,0.5,9,9,4.572,3.29746,3.556,49,24.892,5.38561
17,8526,290,17,1182.74829,458.02054,0,4.0146,1.93742,4.6024,12.22743,35.27329,0.01037,22.2350911787,9.73580935979,8.636,63,32.0,6.36,0.0619083138371,49,49,24.892,5.38561,-16.256,49,24.892,5.38561,0.5,9,9,4.572,3.29746,4.064,49,24.892,5.38561
18,8527,290,18,1182.69543,458.11853,0,4.41226,1.89024,4.35013,11.10806,30.5696,0.01167,28.9275489759,7.23699027445,9.144,63,32.0,6.36,0.0893285386785,49,49,24.892,5.38561,-15.748,49,24.892,5.38561,0.5,9,9,4.572,3.29746,4.572,49,24.892,5.38561
19,8528,290,19,1182.98694,457.9744,0,3.88907,1.93986,4.65115,12.56768,37.13874,0.00764,24.0581283082,21.1376499125,9.652,63,32.0,6.36,0.0693776307158,49,49,24.892,5.38561,-15.24,49,24.892,5.38561,0.5,9,9,4.572,3.29746,5.08,49,24.892,5.38561
