, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,11820,383,0,200.50821,615.84106,0,2.38924,1.75662,3.77258,8.98075,23.04926,0.00698,0.0,0.0,0.0,72,36.58,9.5,0.0,50,50,25.4,8.22183,-25.4,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-9.652,50,25.4,8.22183
1,11821,383,1,200.49896,615.85779,0,2.88009,1.7888,3.9112,9.48643,24.80931,0.00915,1.24259770844,1.24259770844,0.508,72,36.58,9.5,0.0,50,50,25.4,8.22183,-24.892,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-9.144,50,25.4,8.22183
2,11822,383,2,200.59998,615.80688,0,2.78086,1.79315,3.92566,9.52374,24.88542,0.01097,6.36535720855,7.35301090796,1.016,72,36.58,9.5,0.0222757997658,50,50,25.4,8.22183,-24.384,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-8.636,50,25.4,8.22183
3,11823,383,3,200.61194,615.89972,0,2.55671,1.75376,3.77689,9.04907,23.46254,0.00514,7.7458917119,6.0844677598,1.524,72,36.58,9.5,0.02827891394,50,50,25.4,8.22183,-23.876,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-8.128,50,25.4,8.22183
4,11824,383,4,200.80972,615.93317,0,3.04569,1.82038,4.05548,10.0367,26.7972,0.01701,20.4922777783,13.0382662019,2.032,72,36.58,9.5,0.0837052800903,50,50,25.4,8.22183,-23.368,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-7.62,50,25.4,8.22183
5,11825,383,5,200.75398,615.66425,0,2.96929,1.7348,3.6789,8.64395,21.9005,0.00485,19.679512863,17.8513378112,2.54,72,36.58,9.5,0.0801710543453,50,50,25.4,8.22183,-22.86,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-7.112,50,25.4,8.22183
6,11826,383,6,200.73279,615.82819,0,3.46237,1.8131,4.00456,9.79417,25.7827,0.00729,14.6216504264,10.7447457035,3.048,72,36.58,9.5,0.0581774528737,50,50,25.4,8.22183,-22.352,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-6.604,50,25.4,8.22183
7,11827,383,7,200.88615,615.63519,0,3.39191,1.75837,3.77898,9.00114,23.11125,0.00609,27.9742586964,16.0232962764,3.556,72,36.58,9.5,0.116239914749,50,50,25.4,8.22183,-21.844,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-6.096,50,25.4,8.22183
8,11828,383,8,200.86639,615.78625,0,3.84053,1.80047,3.95864,9.65522,25.39249,0.00508,23.5527074858,9.90254919553,4.064,72,36.58,9.5,0.0970132480633,50,50,25.4,8.22183,-21.336,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-5.588,50,25.4,8.22183
9,11829,383,9,200.9278,615.82489,0,3.45808,1.81194,4.01603,9.8866,26.26326,0.00502,27.2935949689,4.71607933378,4.572,72,36.58,9.5,0.113280117612,50,50,25.4,8.22183,-20.828,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-5.08,50,25.4,8.22183
10,11830,383,10,201.07686,615.68658,0,3.74891,1.82441,4.0748,10.1219,27.17099,0.00446,38.3018749215,13.21732122,5.08,72,36.58,9.5,0.161148505731,50,50,25.4,8.22183,-20.32,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-4.572,50,25.4,8.22183
11,11831,383,11,201.07552,615.60681,0,3.35161,1.78938,3.92163,9.5623,25.23305,0.01064,39.8950545379,5.18578151415,5.588,72,36.58,9.5,0.168076285598,50,50,25.4,8.22183,-19.812,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-4.064,50,25.4,8.22183
12,11832,383,12,200.89131,615.78607,0,3.62809,1.7504,3.75781,8.96217,23.0905,0.00508,25.1567223655,16.7073357521,6.096,72,36.58,9.5,0.103988143972,50,50,25.4,8.22183,-19.304,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-3.556,50,25.4,8.22183
13,11833,383,13,200.82799,615.80273,0,3.81716,1.82878,4.08536,10.13138,27.10206,0.01246,20.9344846507,4.25587617889,6.604,72,36.58,9.5,0.0856281717944,50,50,25.4,8.22183,-18.796,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-3.048,50,25.4,8.22183
14,11834,383,14,200.96117,615.75934,0,4.25961,1.82292,4.11367,10.43546,28.91938,0.00815,29.917722791,9.10454990719,7.112,72,36.58,9.5,0.124690871118,50,50,25.4,8.22183,-18.288,50,25.4,8.22183,0.5,19,19,9.652,4.94198,-2.54,50,25.4,8.22183
