, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,41371,1554,76,109.17673,311.52792,0,1.34687,1.91071,4.57518,12.53123,38.18296,0.00846,0.0,0.0,38.608,45,22.86,3.99,0.0,27,103,52.324,3.98937,-13.716,103,52.324,3.98937,0.5,4,80,40.64,2.44719,-2.032,103,52.324,3.98937
1,41372,1554,77,109.04956,311.67816,0,1.62263,1.79727,3.99965,9.97264,27.04894,0.0057,12.7943161585,12.7943161585,39.116,45,22.86,3.99,0.00327374440848,27,103,52.324,3.98937,-13.208,103,52.324,3.98937,0.5,4,80,40.64,2.44719,-1.524,103,52.324,3.98937
2,41373,1554,78,109.35596,311.57501,0,1.49611,1.75627,3.75916,8.90073,22.68936,0.00612,12.0453367626,21.0142981934,39.624,45,22.86,3.99,0.0,27,103,52.324,3.98937,-12.7,103,52.324,3.98937,0.5,4,80,40.64,2.44719,-1.016,103,52.324,3.98937
3,41374,1554,79,108.92619,311.96304,0,1.38182,1.77529,3.91111,9.68758,26.23514,0.00491,32.6361955174,37.6366016041,40.132,45,22.86,3.99,0.090001419384,27,103,52.324,3.98937,-12.192,103,52.324,3.98937,0.5,4,80,40.64,2.44719,-0.508,103,52.324,3.98937
4,41375,1554,80,109.30281,311.80463,0,2.44719,1.94651,4.72315,12.97824,39.10868,0.00502,19.7651940254,26.5575994644,40.64,45,22.86,3.99,0.0337430371102,27,103,52.324,3.98937,-11.684,103,52.324,3.98937,0.5,4,80,40.64,2.44719,0.0,103,52.324,3.98937
5,41376,1554,81,108.93961,312.29153,0,1.54696,1.76777,3.86452,9.48978,25.51664,0.00926,51.972616679,39.4837335652,41.148,45,22.86,3.99,0.174519766631,27,103,52.324,3.98937,-11.176,103,52.324,3.98937,0.5,4,80,40.64,2.44719,0.508,103,52.324,3.98937
6,41377,1554,82,108.75844,312.00836,0,1.79443,1.79035,3.98121,9.99428,27.57699,0.00496,41.4060264005,21.850813033,41.656,45,22.86,3.99,0.128333828762,27,103,52.324,3.98937,-10.668,103,52.324,3.98937,0.5,4,80,40.64,2.44719,1.016,103,52.324,3.98937
7,41378,1554,83,108.64265,311.85095,0,1.64455,1.69963,3.56149,8.30905,21.00395,0.00502,40.57113531,12.7016772926,42.164,45,22.86,3.99,0.124684569444,27,103,52.324,3.98937,-10.16,103,52.324,3.98937,0.5,4,80,40.64,2.44719,1.524,103,52.324,3.98937
8,41379,1554,84,108.60135,312.08276,0,2.27234,1.77058,3.90934,9.81616,27.41955,0.00968,51.9556823962,15.3049213253,42.672,45,22.86,3.99,0.174445747888,27,103,52.324,3.98937,-9.652,103,52.324,3.98937,0.5,4,80,40.64,2.44719,2.032,103,52.324,3.98937
9,41380,1554,85,109.15298,311.71518,0,1.8379,1.83867,4.17684,10.66541,29.77385,0.01203,12.2694055957,43.0872401494,43.18,45,22.86,3.99,0.000979391547445,27,103,52.324,3.98937,-9.144,103,52.324,3.98937,0.5,4,80,40.64,2.44719,2.54,103,52.324,3.98937
