, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,18245,600,14,592.04779,282.4306,0,1.07768,1.82451,4.28249,11.76222,36.74692,0.00461,0.0,0.0,7.112,67,34.04,5.58,0.0,52,67,34.036,4.98512,-26.924,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-4.064,67,34.036,4.98512
1,18246,600,16,591.77765,282.25516,0,1.3954,1.82154,4.12836,10.6494,30.63973,0.00632,20.9371460751,20.9371460751,8.128,67,34.04,5.58,0.0742141116273,52,67,34.036,4.98512,-25.908,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-3.048,67,34.036,4.98512
2,18247,600,17,592.50458,282.15125,0,1.53999,1.84065,4.13648,10.34918,28.05024,0.00827,34.8034502583,47.7307402774,8.636,67,34.04,5.58,0.13447607678,52,67,34.036,4.98512,-25.4,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-2.54,67,34.036,4.98512
3,18248,600,18,592.13171,282.31863,0,1.92883,1.8127,4.0272,9.95128,26.58105,0.00823,9.09532049147,26.5664869336,9.144,67,34.04,5.58,0.022750385516,52,67,34.036,4.98512,-24.892,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-2.032,67,34.036,4.98512
4,18249,600,19,591.81628,282.15091,0,1.6698,1.9716,4.82824,13.36668,40.54342,0.00511,23.5998678904,23.2211154328,9.652,67,34.04,5.58,0.0857861099857,52,67,34.036,4.98512,-24.384,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-1.524,67,34.036,4.98512
5,18250,600,20,592.18054,282.36444,0,1.6915,1.75777,3.79556,9.11224,23.64146,0.00771,9.64099407336,27.4451220787,10.16,67,34.04,5.58,0.0251218438326,52,67,34.036,4.98512,-23.876,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-1.016,67,34.036,4.98512
6,18251,600,21,592.29187,282.56934,0,2.12243,1.76412,3.80099,9.07184,23.32618,0.00613,18.2491287093,15.1574618869,10.668,67,34.04,5.58,0.0625321806178,52,67,34.036,4.98512,-23.368,67,34.036,4.98512,0.5,7,22,11.176,2.81356,-0.508,67,34.036,4.98512
7,18252,600,22,592.28162,282.24213,0,2.81356,1.73937,3.70419,8.74769,22.28671,0.00467,19.5213743472,21.2790827313,11.176,67,34.04,5.58,0.0680612690673,52,67,34.036,4.98512,-22.86,67,34.036,4.98512,0.5,7,22,11.176,2.81356,0.0,67,34.036,4.98512
8,18253,600,23,592.19647,282.24377,0,3.00554,1.81966,4.05192,10.03708,26.8912,0.01058,15.5200606713,5.5357764697,11.684,67,34.04,5.58,0.0506718463261,52,67,34.036,4.98512,-22.352,67,34.036,4.98512,0.5,7,22,11.176,2.81356,0.508,67,34.036,4.98512
9,18254,600,24,592.33856,282.21161,0,2.59196,1.76413,3.80599,9.11076,23.54031,0.00642,23.660697579,9.46946130371,12.192,67,34.04,5.58,0.0860504714568,52,67,34.036,4.98512,-21.844,67,34.036,4.98512,0.5,7,22,11.176,2.81356,1.016,67,34.036,4.98512
10,18255,600,25,592.10242,282.07916,0,2.5974,1.84255,4.17892,10.60162,29.22323,0.01204,23.117943396,17.5986947349,12.7,67,34.04,5.58,0.0836917006389,52,67,34.036,4.98512,-21.336,67,34.036,4.98512,0.5,7,22,11.176,2.81356,1.524,67,34.036,4.98512
11,18256,600,26,592.59558,282.14621,0,2.99557,1.76331,3.81543,9.17944,23.87206,0.00885,40.1188275619,32.3503170343,13.208,67,34.04,5.58,0.15757632596,52,67,34.036,4.98512,-20.828,67,34.036,4.98512,0.5,7,22,11.176,2.81356,2.032,67,34.036,4.98512
12,18257,600,27,592.20795,282.45651,0,3.26489,1.81615,4.01862,9.84255,25.93477,0.00619,10.5457474549,32.2745197742,13.716,67,34.04,5.58,0.0290538372484,52,67,34.036,4.98512,-20.32,67,34.036,4.98512,0.5,7,22,11.176,2.81356,2.54,67,34.036,4.98512
13,18258,600,28,591.95453,282.04599,0,3.5794,1.85514,4.24264,10.86255,30.23398,0.01045,25.7240963249,31.3586008892,14.224,67,34.04,5.58,0.0950178546671,52,67,34.036,4.98512,-19.812,67,34.036,4.98512,0.5,7,22,11.176,2.81356,3.048,67,34.036,4.98512
14,18259,600,29,592.61255,282.12921,0,2.70084,1.79462,3.9599,9.7417,25.96937,0.00552,41.609636642,43.1120009995,14.732,67,34.04,5.58,0.16405527548,52,67,34.036,4.98512,-19.304,67,34.036,4.98512,0.5,7,22,11.176,2.81356,3.556,67,34.036,4.98512
15,18260,600,30,592.28296,282.1937,0,3.25844,1.74266,3.72483,8.8435,22.68308,0.00867,21.6973990804,21.8296021871,15.24,67,34.04,5.58,0.077518116754,52,67,34.036,4.98512,-18.796,67,34.036,4.98512,0.5,7,22,11.176,2.81356,4.064,67,34.036,4.98512
16,18261,600,31,592.33154,282.35599,0,3.43022,1.76481,3.81507,9.15195,23.6862,0.00668,19.0706848116,11.0113262422,15.748,67,34.04,5.58,0.066102604615,52,67,34.036,4.98512,-18.288,67,34.036,4.98512,0.5,7,22,11.176,2.81356,4.572,67,34.036,4.98512
17,18262,600,32,592.20795,282.38196,0,3.1629,1.7397,3.70108,8.73085,22.23065,0.00769,10.8798962642,8.20878949816,16.256,67,34.04,5.58,0.0305060240486,52,67,34.036,4.98512,-17.78,67,34.036,4.98512,0.5,7,22,11.176,2.81356,5.08,67,34.036,4.98512
18,18263,600,33,592.17871,282.28201,0,3.19113,1.77405,3.84129,9.21488,23.81744,0.01013,12.8724675475,6.76905022307,16.764,67,34.04,5.58,0.0391655961778,52,67,34.036,4.98512,-17.272,67,34.036,4.98512,0.5,7,22,11.176,2.81356,5.588,67,34.036,4.98512
19,18264,600,34,592.341,282.35211,0,3.59865,1.789,3.90642,9.44462,24.57347,0.01468,19.7296987621,11.4908628298,17.272,67,34.04,5.58,0.0689666320585,52,67,34.036,4.98512,-16.764,67,34.036,4.98512,0.5,7,22,11.176,2.81356,6.096,67,34.036,4.98512
20,18265,600,35,592.35022,282.49423,0,3.44372,1.77132,3.82641,9.14818,23.54478,0.00676,20.0883319518,9.25721930873,17.78,67,34.04,5.58,0.0705252262225,52,67,34.036,4.98512,-16.256,67,34.036,4.98512,0.5,7,22,11.176,2.81356,6.604,67,34.036,4.98512
21,18266,600,36,592.06537,282.37387,0,3.42676,1.80688,4.00953,9.92619,26.65917,0.00854,3.86044696797,20.100250499,18.288,67,34.04,5.58,0.0,52,67,34.036,4.98512,-15.748,67,34.036,4.98512,0.5,7,22,11.176,2.81356,7.112,67,34.036,4.98512
22,18267,600,37,592.21472,282.52609,0,4.46907,1.79911,3.9681,9.7308,25.77932,0.00947,12.5002900816,13.8613701542,18.796,67,34.04,5.58,0.0375481395589,52,67,34.036,4.98512,-15.24,67,34.036,4.98512,0.5,7,22,11.176,2.81356,7.62,67,34.036,4.98512
23,18268,600,38,592.29382,282.35599,0,3.79158,1.75691,3.76631,8.93464,22.81536,0.00832,16.7111211451,12.193490661,19.304,67,34.04,5.58,0.0558481098649,52,67,34.036,4.98512,-14.732,67,34.036,4.98512,0.5,7,22,11.176,2.81356,8.128,67,34.036,4.98512
