, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,7686,268,0,252.63698,430.78412,0,1.70351,2.32707,6.77293,22.48992,81.98912,0.00518,0.0,0.0,0.0,70,35.56,5.26,0.0,56,57,28.956,4.13035,-28.956,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-5.08,57,28.956,4.13035
1,7687,268,1,252.67325,430.38715,0,2.09655,2.27026,6.32678,19.85742,67.90322,0.00528,25.9105274224,25.9105274224,0.508,70,35.56,5.26,0.157902610975,56,57,28.956,4.13035,-28.448,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-4.572,57,28.956,4.13035
2,7688,268,2,253.03154,430.61783,0,1.70194,2.04477,5.22438,15.24439,49.24786,0.00652,27.8310810297,27.6983134498,1.016,70,35.56,5.26,0.171497659803,56,57,28.956,4.13035,-27.94,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-4.064,57,28.956,4.13035
3,7689,268,3,253.12819,430.36761,0,2.28647,2.0989,5.46284,16.11727,52.22802,0.00693,41.8616070134,17.43542714,1.524,70,35.56,5.26,0.27081573408,56,57,28.956,4.13035,-27.432,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-3.556,57,28.956,4.13035
4,7690,268,4,252.97498,430.09061,0,2.10382,2.07273,5.42534,16.30378,54.28628,0.00715,50.1469890165,20.5755858926,2.032,70,35.56,5.26,0.329465579863,56,57,28.956,4.13035,-26.924,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-3.048,57,28.956,4.13035
5,7691,268,5,253.16963,429.9314,0,2.58337,1.97427,4.89322,13.91595,44.09832,0.00439,65.351590289,16.3454576836,2.54,70,35.56,5.26,0.437094596786,56,57,28.956,4.13035,-26.416,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-2.54,57,28.956,4.13035
6,7692,268,6,253.30757,429.91324,0,2.24352,1.93104,4.63428,12.62977,38.01592,0.00368,71.4445193669,9.04346688887,3.048,70,35.56,5.26,0.480224696357,56,57,28.956,4.13035,-25.908,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-2.032,57,28.956,4.13035
7,7693,268,7,252.97993,430.35254,0,2.41155,2.07156,5.40126,16.15744,53.60949,0.00556,35.8312167719,35.6216878013,3.556,70,35.56,5.26,0.228128329016,56,57,28.956,4.13035,-25.4,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-1.524,57,28.956,4.13035
8,7694,268,8,253.23097,429.99969,0,2.41346,1.97519,4.9277,14.21377,46.02599,0.01243,63.9566490103,28.147642216,4.064,70,35.56,5.26,0.427220207066,56,57,28.956,4.13035,-24.892,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-1.016,57,28.956,4.13035
9,7695,268,9,253.23499,430.07309,0,2.48852,1.97617,4.83228,13.36222,40.57667,0.00861,60.3898493021,4.77815013263,4.572,70,35.56,5.26,0.401971853671,56,57,28.956,4.13035,-24.384,57,28.956,4.13035,0.5,10,10,5.08,3.22248,-0.508,57,28.956,4.13035
10,7696,268,10,253.42017,430.06247,0,3.22248,1.95576,4.739,12.95541,38.72797,0.00926,69.2231781023,12.0564779675,5.08,70,35.56,5.26,0.464500457867,56,57,28.956,4.13035,-23.876,57,28.956,4.13035,0.5,10,10,5.08,3.22248,0.0,57,28.956,4.13035
