, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,15757,530,9,946.21857,405.52368,0,1.40596,2.09354,5.41299,15.76952,50.15202,0.01008,0.0,0.0,4.572,42,21.34,4.12,0.0,21,30,15.24,3.35239,-10.668,30,15.24,3.35239,0.5,3,12,6.096,2.22512,-1.524,30,15.24,3.35239
1,15758,530,10,945.95026,405.58456,0,1.69134,1.93287,4.62491,12.44724,36.5286,0.00676,17.8834634191,17.8834634191,5.08,42,21.34,4.12,0.0834206236298,21,30,15.24,3.35239,-10.16,30,15.24,3.35239,0.5,3,12,6.096,2.22512,-1.016,30,15.24,3.35239
2,15759,530,11,945.98114,405.86224,0,1.59802,2.00148,4.9559,13.84776,42.32117,0.00906,26.8785711425,18.1604645447,5.588,42,21.34,4.12,0.147062138698,21,30,15.24,3.35239,-9.652,30,15.24,3.35239,0.5,3,12,6.096,2.22512,-0.508,30,15.24,3.35239
3,15760,530,12,945.73071,405.65302,0,2.22512,1.86532,4.26975,10.90187,30.15006,0.01039,32.8064095753,21.2111436913,6.096,42,21.34,4.12,0.189002338921,21,30,15.24,3.35239,-9.144,30,15.24,3.35239,0.5,3,12,6.096,2.22512,0.0,30,15.24,3.35239
4,15761,530,13,945.66833,405.7037,0,2.28161,1.8766,4.30226,10.97375,30.26325,0.01266,37.63108509,5.22420766528,6.604,42,21.34,4.12,0.223137523169,21,30,15.24,3.35239,-8.636,30,15.24,3.35239,0.5,3,12,6.096,2.22512,0.508,30,15.24,3.35239
5,15762,530,14,945.19647,405.44089,0,1.65678,1.86467,4.30594,11.18519,31.75066,0.00654,66.6540880972,35.1072789865,7.112,42,21.34,4.12,0.428478908733,21,30,15.24,3.35239,-8.128,30,15.24,3.35239,0.5,3,12,6.096,2.22512,1.016,30,15.24,3.35239
6,15763,530,15,945.72308,405.44714,0,1.60071,1.97277,4.76977,12.90421,37.95125,0.01037,32.5888448235,34.2320606769,7.62,42,21.34,4.12,0.187463041021,21,30,15.24,3.35239,-7.62,30,15.24,3.35239,0.5,3,12,6.096,2.22512,1.524,30,15.24,3.35239
7,15764,530,16,945.76251,405.23776,0,2.05591,1.91107,4.45536,11.55148,32.34645,0.00914,34.9879350384,13.8489222249,8.128,42,21.34,4.12,0.204436905121,21,30,15.24,3.35239,-7.112,30,15.24,3.35239,0.5,3,12,6.096,2.22512,2.032,30,15.24,3.35239
8,15765,530,17,945.71204,405.57895,0,2.218,1.90373,4.41831,11.40189,31.78369,0.0095,33.1198705206,22.4186721579,8.636,42,21.34,4.12,0.191220114415,21,30,15.24,3.35239,-6.604,30,15.24,3.35239,0.5,3,12,6.096,2.22512,2.54,30,15.24,3.35239
9,15766,530,18,945.90533,405.34235,0,2.48304,2.01309,5.00651,14.04697,43.10477,0.00972,23.5260374046,19.8585993419,9.144,42,21.34,4.12,0.123342542118,21,30,15.24,3.35239,-6.096,30,15.24,3.35239,0.5,3,12,6.096,2.22512,3.048,30,15.24,3.35239
10,15767,530,19,946.22198,405.31906,0,2.0495,2.09486,5.40698,15.76311,50.34818,0.00507,13.3021467746,20.6378476805,9.652,42,21.34,4.12,0.0510072339038,21,30,15.24,3.35239,-5.588,30,15.24,3.35239,0.5,3,12,6.096,2.22512,3.556,30,15.24,3.35239
11,15768,530,20,946.18903,405.32416,0,2.24263,1.86986,4.28211,10.90967,30.01198,0.00846,13.1101700008,2.16725294151,10.16,42,21.34,4.12,0.0496489741567,21,30,15.24,3.35239,-5.08,30,15.24,3.35239,0.5,3,12,6.096,2.22512,4.064,30,15.24,3.35239
12,15769,530,21,945.86633,405.2551,0,2.44801,1.90036,4.43456,11.59373,33.01726,0.00566,28.792009111,21.4504504256,10.668,42,21.34,4.12,0.160599952258,21,30,15.24,3.35239,-4.572,30,15.24,3.35239,0.5,3,12,6.096,2.22512,4.572,30,15.24,3.35239
13,15770,530,22,946.02905,405.44492,0,2.8118,1.94318,4.66344,12.61338,37.34512,0.00731,13.340205763,16.2512259578,11.176,42,21.34,4.12,0.0512765060194,21,30,15.24,3.35239,-4.064,30,15.24,3.35239,0.5,3,12,6.096,2.22512,5.08,30,15.24,3.35239
14,15771,530,23,946.26538,405.44247,0,2.90327,1.94306,4.59867,12.10837,34.45718,0.00982,6.09277152411,15.362275439,11.684,42,21.34,4.12,0.0,21,30,15.24,3.35239,-3.556,30,15.24,3.35239,0.5,3,12,6.096,2.22512,5.588,30,15.24,3.35239
15,15772,530,24,946.25122,405.22284,0,3.42602,1.9317,4.55437,11.94245,33.80349,0.01162,19.6694261793,14.305589277,12.192,42,21.34,4.12,0.0960565341057,21,30,15.24,3.35239,-3.048,30,15.24,3.35239,0.5,3,12,6.096,2.22512,6.096,30,15.24,3.35239
