, ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore,distance[nm],speed[nm],time[s],lifetime_frames,lifetime_seconds,max_intensity_AU,distance normalized,inflectionPointIndex,inflectionPointFrame,inflectionPointTime,inflectionPointIntensity,time aligned[s],alignment_frame_Id,alignment_time_seconds,alignment_intensity_AU,align_intensity_threshold,inflectionPoint_fromIntensity_Index,inflectionPoint_fromIntensity_Frame,inflectionPoint_fromIntensity_Time,inflectionPoint_fromIntensity_Intensity,time aligned_byIntensity[s],alignment_byIntensity_frame_Id,alignment_byIntensity_time_seconds,alignment_byIntensity_intensity_AU
0,27204,952,39,396.88889,133.77242,0,0.85353,1.59442,3.31033,8.20423,24.18533,0.00252,0.0,0.0,19.812,62,31.5,4.7,0.0,41,81,41.148,4.70236,-21.336,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-7.112,81,41.148,4.70236
1,27205,952,41,397.16483,133.32483,0,1.28357,1.73882,3.75794,9.16174,24.59224,0.00412,34.1778685326,34.1778685326,20.828,62,31.5,4.7,0.132685726766,41,81,41.148,4.70236,-20.32,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-6.096,81,41.148,4.70236
2,27206,952,42,397.42783,133.50557,0,1.33466,1.77024,3.85238,9.35441,24.67185,0.00342,39.0900967608,20.7426343218,21.336,62,31.5,4.7,0.153611181714,41,81,41.148,4.70236,-19.812,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-5.588,81,41.148,4.70236
3,27207,952,43,397.33279,133.74866,0,1.0851,1.71687,3.64952,8.70907,22.77413,0.00883,28.8948028824,16.9655416207,21.844,62,31.5,4.7,0.110180552511,41,81,41.148,4.70236,-19.304,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-5.08,81,41.148,4.70236
4,27208,952,44,396.75391,133.17719,0,1.30592,1.73458,3.69286,8.7477,22.44191,0.00408,39.6722830537,52.8734154812,22.352,62,31.5,4.7,0.156091219789,41,81,41.148,4.70236,-18.796,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-4.572,81,41.148,4.70236
5,27209,952,45,396.80344,133.64717,0,1.35279,1.75117,3.81473,9.38405,25.40325,0.00676,9.85543731272,30.7178763913,22.86,62,31.5,4.7,0.0290753253196,41,81,41.148,4.70236,-18.288,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-4.064,81,41.148,4.70236
6,27210,952,46,397.07483,133.677,0,1.84439,1.81694,4.19303,11.19974,33.70972,0.00564,13.5846361195,17.746590524,23.368,62,31.5,4.7,0.0449612284167,41,81,41.148,4.70236,-17.78,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-3.556,81,41.148,4.70236
7,27211,952,47,396.97287,133.35677,0,1.58531,1.79344,3.98874,9.99142,27.44948,0.00272,27.5631856514,21.8445547966,23.876,62,31.5,4.7,0.104508035869,41,81,41.148,4.70236,-17.272,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-3.048,81,41.148,4.70236
8,27212,952,48,397.10925,133.24695,0,1.27506,1.64469,3.31958,7.42688,17.96257,0.00291,37.037297193,11.3814864135,24.384,62,31.5,4.7,0.144866521881,41,81,41.148,4.70236,-16.764,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-2.54,81,41.148,4.70236
9,27213,952,49,397.03195,133.63162,0,1.71424,1.94743,4.67541,12.60288,36.99792,0.00907,13.0471700077,25.5033941438,24.892,62,31.5,4.7,0.0426716925103,41,81,41.148,4.70236,-16.256,81,41.148,4.70236,0.5,13,53,26.924,2.69155,-2.032,81,41.148,4.70236
